titulo,endereco,acessos,categoria
Terra,http://www.terra.com.br,295,Portal
POVRay,http://www.povray.org,2,CG
SBC,http://www.sbc.org.br,26,Sociedade
Correios,http://www.correios.com.br,45,Serviços
GMail,http://www.gmail.com,296,Mail
Google,http://www.google.com,1590,Busca
Yahoo,http://www.yahoo.com,134,Serviços
Orkut,http://www.orkut.com,45,Rede Social
iBahia,http://www.ibahia.com,3,Portal
Submarino,http://www.submarino.com.br,320,Loja
Amazon,https://www.amazon.com.br,410,Marketplace
Americanas,https://www.americanas.com.br,320,Loja
Mercado Livre,https://www.mercadolivre.com.br,500,Marketplace
G1,https://g1.globo.com,1200,Notícias
Folha,https://www.folha.uol.com.br,850,Notícias
Google News,https://news.google.com,900,Agregador
Flipboard,https://flipboard.com,950,Agregador
