codedrug,parent
http://purl.obolibrary.org/obo/CHEBI_15765,http://purl.obolibrary.org/obo/CHEBI_49168
http://purl.obolibrary.org/obo/DRON_00010798,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00017825,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_36588,http://purl.obolibrary.org/obo/CHEBI_36585
http://purl.obolibrary.org/obo/DRON_00018976,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00012681,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_22563,http://purl.obolibrary.org/obo/CHEBI_24870
http://purl.obolibrary.org/obo/CHEBI_35505,http://purl.obolibrary.org/obo/CHEBI_35504
http://purl.obolibrary.org/obo/CHEBI_36587,http://purl.obolibrary.org/obo/CHEBI_50860
http://purl.obolibrary.org/obo/DRON_00017779,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00014609,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_38530,http://purl.obolibrary.org/obo/CHEBI_27171
http://purl.obolibrary.org/obo/DRON_00012997,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_35504,http://purl.obolibrary.org/obo/CHEBI_37577
http://purl.obolibrary.org/obo/CHEBI_23213,http://purl.obolibrary.org/obo/CHEBI_35701
http://purl.obolibrary.org/obo/DRON_00015627,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00017465,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_9449,http://purl.obolibrary.org/obo/CHEBI_25990
http://purl.obolibrary.org/obo/CHEBI_23044,http://purl.obolibrary.org/obo/CHEBI_26935
http://purl.obolibrary.org/obo/CHEBI_51721,http://purl.obolibrary.org/obo/CHEBI_17087
http://purl.obolibrary.org/obo/CHEBI_26935,http://purl.obolibrary.org/obo/CHEBI_26873
http://purl.obolibrary.org/obo/CHEBI_46848,http://purl.obolibrary.org/obo/CHEBI_26144
http://purl.obolibrary.org/obo/CHEBI_28177,http://purl.obolibrary.org/obo/CHEBI_23818
http://purl.obolibrary.org/obo/CHEBI_10033,http://purl.obolibrary.org/obo/CHEBI_38445
http://purl.obolibrary.org/obo/DRON_00020015,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00018834,http://purl.obolibrary.org/obo/OBI_0000047
