code,name
0,Cardiovascular event prophylaxis
1,Atrial fibrillation
2,Diabetes mellitus
3,Prophylaxis
4,Cardiac failure
5,Hypertension
6,Multiple sclerosis
7,Product used for unknown indication
8,Myelofibrosis
11,Alopecia
12,HIV infection
13,Prostate cancer
14,Osteoporosis
15,Low density lipoprotein increased
16,Blood cholesterol increased
18,Chronic myeloid leukaemia
19,Asthma
20,Respiratory rate decreased
21,Neuropathy peripheral
23,Pain
24,Type 2 diabetes mellitus
25,Schizophrenia
26,Enterobacter infection
27,Gastric ulcer
28,Ventricular extrasystoles
29,Intervertebral disc protrusion
32,Eyelid ptosis
33,Diarrhoea
35,Suicide attempt
36,Depression
37,Psoriasis
38,Hypothyroidism
39,Dyspepsia
40,Antidepressant therapy
46,Urinary incontinence
47,Routine health maintenance
48,B-cell lymphoma
49,Cardiac disorder
50,Hypercholesterolaemia
51,Analgesic therapy
52,Breast cancer
54,Multiple allergies
55,Gastrooesophageal reflux disease
56,Dyspnoea
57,Neuralgia
58,Insomnia
60,Dysphagia
61,Flatulence
62,Blood pressure abnormal
63,Joint arthroplasty
64,Knee arthroplasty
65,Knee operation
66,Metastatic malignant melanoma
67,Premedication
68,Hip arthroplasty
69,Hypereosinophilic syndrome
70,Relapsing-remitting multiple sclerosis
71,Rheumatoid arthritis
72,Renal disorder
74,Malignant melanoma
75,Anxiety
76,Herpes zoster
77,Psoriatic arthropathy
80,Pulmonary arterial hypertension
82,Prophylaxis against gastrointestinal ulcer
83,Arthralgia
84,Autoimmune disorder
85,Interstitial lung disease
86,Dermatomyositis
87,Cardiac failure congestive
88,Constipation
90,Skin ulcer
91,Lung infection
93,Systemic lupus erythematosus
94,Schizoaffective disorder
95,Bipolar disorder
96,Post-traumatic stress disorder
99,Anaphylactic reaction
100,Seizure
101,Hypovitaminosis
102,Epilepsy
103,Gastric disorder
104,Bone density decreased
105,Bone disorder
106,Blood cholesterol
107,Cystic fibrosis
109,Pneumonia
111,Pneumonia viral
114,Psychotic disorder
118,Carpal tunnel syndrome
121,Dyslipidaemia
123,Sinus disorder
124,Deep vein thrombosis
125,Thrombosis
126,Myelodysplastic syndrome
127,Rhinovirus infection
129,Renal transplant
130,Chronic obstructive pulmonary disease
131,Inflammation
132,Plasma cell myeloma
134,Arrhythmia
135,Back pain
136,Dry eye
137,Glaucoma
138,Infection prophylaxis
139,Metastases to bone
140,Mineral supplementation
141,Thrombosis prophylaxis
142,Cerebrovascular accident prophylaxis
143,Muscle spasms
144,Sleep disorder
146,Red blood cell count decreased
147,Blood iron decreased
148,Pyrexia
149,Acute lymphocytic leukaemia
151,Hyperglycaemia
152,Brain oedema
153,Neutropenia
155,Thrombocytopenia
156,Antiviral prophylaxis
158,Lung neoplasm malignant
159,Blood pressure measurement
160,Transplant rejection
162,Diverticulitis
163,Hyperlipidaemia
164,Myopathy
166,Off label use
167,Eye disorder
169,Parkinson's disease
172,Osteopenia
173,Osteoporosis postmenopausal
176,Erectile dysfunction
178,Cerebrovascular accident
181,Attention deficit/hyperactivity disorder
182,Abnormal behaviour
185,Infection
186,Multiple organ dysfunction syndrome
187,Metastatic renal cell carcinoma
188,Intestinal mass
189,Ovarian cancer
190,Abdominal pain
192,Hot flush
193,Night sweats
194,Pancreatic neuroendocrine tumour
197,Body height below normal
198,Immune thrombocytopenic purpura
202,Basal cell carcinoma
203,Nutritional supplementation
204,Anaemia
206,Pulmonary hypertension
208,Generalised tonic-clonic seizure
209,Blood glucose abnormal
210,Hypersensitivity
212,Liver disorder
213,Gastritis
215,Pyelonephritis
217,Affective disorder
218,Arthritis
219,Colorectal cancer metastatic
220,Colorectal cancer
221,Nausea
222,Cough
223,Fibromyalgia
224,Vertigo
225,Fluid retention
227,Migraine
229,Anticoagulant therapy
230,Lung disorder
231,Dizziness
233,Memory impairment
234,Hypocalcaemia
235,Hepatic function abnormal
236,Graft versus host disease
237,Renal impairment
238,Asthenia
240,Vein disorder
241,Thyroid disorder
242,Headache
244,Raynaud's phenomenon
246,Osteoarthritis
247,Non-Hodgkin's lymphoma
248,Leukopenia
249,Vomiting
250,Prophylaxis of nausea and vomiting
252,Poor quality sleep
253,Neoplasm
255,Myalgia
257,Crohn's disease
258,Sedative therapy
260,Abdominal discomfort
261,Major depression
264,Intestinal obstruction
265,Bronchitis
266,Type 1 diabetes mellitus
270,Infarction
271,Iron overload
272,Gout
273,Blood potassium increased
274,Cystitis
275,Cerebral infarction
276,Sleep apnoea syndrome
279,Chronic lymphocytic leukaemia
280,Influenza
281,Sedation
282,Lymphoma
284,Blood pressure increased
286,Prostate cancer metastatic
287,Hormone-refractory prostate cancer
288,Oedema
289,Prostate cancer stage IV
291,Abdominal distension
292,Decreased appetite
293,Upper gastrointestinal haemorrhage
294,Delusion
296,Gait disturbance
297,Malaise
298,Tachycardia
300,Pulmonary tuberculosis
304,Spinal pain
307,Aggression
308,Coronary artery disease
309,End stage renal disease
311,Vitamin D deficiency
313,Urinary tract infection
317,Chondropathy
323,Complex regional pain syndrome
324,Angina pectoris
325,Gastroenteritis
326,Chills
329,Hypokalaemia
331,Renal cell carcinoma
332,Anxiety disorder
333,Eating disorder
334,Pain in extremity
335,Hypoaesthesia
337,Procedural pain
338,Prostatic disorder
339,Skin cancer
340,Chest pain
341,Sinus congestion
342,Mantle cell lymphoma
343,Supplementation therapy
344,Swelling
345,Wheezing
346,Angiomyolipoma
347,Partial seizures
349,Spinal disorder
350,Colitis
352,Restless legs syndrome
353,Gastrointestinal stromal tumour
354,Musculoskeletal pain
355,Stomatitis
357,Device related infection
358,Hypoglycaemia
359,Respiratory disorder
361,Rhinitis allergic
362,Hepatocellular carcinoma
365,Temporomandibular joint syndrome
366,Bipolar I disorder
367,Prostatomegaly
368,Trigeminal neuralgia
370,Non-small cell lung cancer
371,Fungal infection
372,Sepsis
373,Ischaemic stroke
374,Urticaria
378,Visual impairment
380,Stress
382,Neoplasm progression
385,Gastrointestinal haemorrhage
387,Blood calcium decreased
388,Bladder disorder
389,Blood magnesium decreased
390,Blood cholesterol abnormal
392,Haemorrhage
393,Drug abuse
395,Blood triglycerides increased
397,Nephrogenic anaemia
399,Blood pressure decreased
401,Mood swings
402,Agitation
405,Myocardial ischaemia
406,Myocardial infarction
408,Bile duct cancer
409,Gallbladder cancer
