code,name
0,ACZ885
2,METFORMIN
4,COZAAR
6,GILENYA
8,JAKAFI
10,CALCIUM CARBONATE.
11,MULTIVITAMIN /00097801/
12,SYMBICORT
13,FLUOXETINE
14,SIMVASTATIN.
15,HYDROCODONE BITARTRATE AND ACETAMINOPHEN
16,VITAMINS NOS
17,TYLENOL WITH CODEINE
18,GLIPIZIDE.
20,VITAMIN D3
23,BREO ELLIPTA
24,ALBUTEROL SULFATE.
25,VICODIN
26,FAMOTIDINE.
27,PRAVASTATIN.
28,VITAMIN C
29,LOVASTATIN.
30,ASPIRIN /00002701/
31,LEVOTHYROXINE.
33,ZOLOFT
35,ISENTRESS
36,XTANDI
37,FOSAMAX
38,ALENDRONATE SODIUM.
39,EFAVIRENZ.
40,LIPITOR
43,PROVENTIL
44,CLARITIN
46,CELEXA
47,TASIGNA
48,AUBAGIO
49,AMPYRA
50,XOLAIR
51,PREDNISONE.
52,SINGULAIR
53,ADVAIR HFA
54,VENTOLINE
55,ZENHALE
56,ALVESCO
57,SPIRIVA
59,JANUMET
60,LYRICA
61,VALSARTAN AND HYDROCHLOROTHIAZIDE
63,GEMFIBROZIL.
64,NORCO
65,TRAMADOL.
66,CETIRIZINE
68,VITAMIN B12
69,VITAMIN D
70,ZESTORETIC
71,CLOTRIMAZOLE.
73,LORATADINE.
74,LORTAB
75,INSULIN
76,LISINOPRIL.
77,POTASSIUM CHLORIDE.
78,PREVACID
79,ZAROXOLYN
80,ALLOPURINOL.
81,CELEBREX
82,CYMBALTA
83,GLUCOPHAGE
84,POTASSIUM
85,NEURONTIN
86,ABILIFY MAINTENA
87,STRATTERA
89,VENTOLIN
90,MONTELUKAST
91,MEROPENEM.
92,COLISTIN
94,GABAPENTIN.
95,VERAPAMIL HCL
96,ENBREL
97,OXYCODONE HYDROCHLORIDE.
98,CITALOPRAM
99,PARACETAMOL
100,CEFALEXIN
101,PLAQUENIL /00072602/
102,WELLBUTRIN
103,GLIVEC
104,PARIET
105,MAINTATE
106,LOXONIN
108,ALFAROL
109,CRAVIT
113,REBAMIPIDE
118,AMOXICILLIN.
119,OMEPRAZOLE.
120,VENLAFAXINE
121,CEREZYME
122,EXJADE
123,FOLIC ACID.
124,FLOVENT
125,IBUPROFEN.
126,DONEPEZIL.
127,DETROL
129,PANTOPRAZOLE
130,SOLU-MEDROL
131,AMLODIPINE
132,CIPROFLOXACIN.
133,FUROSEMIDE.
134,ISOSORBIDE MONONITRATE.
135,LOSARTAN POTASSIUM.
136,METHYLPREDNISOLONE.
137,REBIF
138,TEMAZEPAM.
139,TRAMADOL HYDROCHLORIDE.
140,RITUXIMAB.
141,CYCLOPHOSPHAMIDE.
142,VINCRISTINE
143,PREDNISOLONE.
144,ASPIRIN.
145,CLOPIDOGREL
146,ENOXAPARIN
147,ATORVASTATIN
149,RAMIPRIL.
150,BISOPROLOL
151,PYRIDOXINE
152,CHLORPHENIRAMINE.
153,SALBUTAMOL
154,SYNTHROID
155,NEXIUM
156,NAPROXEN.
158,BEVACIZUMAB.
159,XELODA
162,HYDROCHLOROTHIAZIDE.
163,ATROVENT
164,ALBUTEROL.
165,TRAZODONE
166,MULTI VITAMIN
167,NUTROPIN AQ
168,ANASTROZOLE.
169,NEXIUM 24HR
170,DEXILANT
171,BABY ASPIRIN
172,TYLENOL
173,ADVIL
174,IPILIMUMAB
175,EUTHYROX
176,DIPHENHYDRAMINE.
177,VALACICLOVIR
178,APIXABAN
179,ARIPIPRAZOLE.
180,NYSTATIN.
181,PACLITAXEL.
182,VOTUM (GERMANY)
183,OLMESARTAN
184,AFINITOR
185,TAMOXIFEN
186,XELJANZ
187,KLONOPIN
188,CORTEF
190,CYTOMEL
191,ABILIFY
192,FLUOXETINE HCL
193,TRAZODONE HYDROCHLORIDE.
194,BUSPAR
195,HYDROCORTISONE.
196,LAMICTAL
198,LITHIUM CARBONATE.
200,LORAZEPAM.
201,CLOBETASOL
202,HYDROMORPHONE
204,DIPHENHYDRAMINE HYDROCHLORIDE.
205,DOCUSATE SODIUM.
206,ENOXAPARIN SODIUM.
207,GENTAMICIN SULFATE.
211,SODIUM CHLORIDE.
212,ZOLPIDEM TARTRATE.
213,VALTREX
214,METHYCOBAL
216,HUMIRA
217,CIMZIA
218,METHOTREXATE.
219,NORVASC
220,AMBIEN
221,SANDOSTATIN LAR DEPOT
222,AMBRISENTAN
223,ADCIRCA
224,PREDONINE
225,REVATIO
227,TAKEPRON
229,OPALMON
230,ZYLORIC
231,BONALON
232,BARACLUDE
233,FERROMIA
235,FERROUS SULFATE.
236,DIART
238,ACTEMRA
239,CLONAZEPAM.
241,DICLOFENAC
242,CRESTOR
243,PLAVIX
245,NITROGLYCERIN.
246,LOPRESSOR
247,METAMUCIL
248,METOPROLOL.
249,MEDROL
251,ATENOLOL.
253,LANTUS
254,PROGRAF
255,MAGMITT
256,BAKTAR
258,FLAGYL
259,AVELOX
260,CEFUROXIME.
261,PLAQUENIL
262,SPIRONOLACTONE.
263,CODEINE
264,MORPHINE
266,TRASTUZUMAB.
267,DEXAMETHASONE.
268,LAMOTRIGINE.
269,RISPERDAL
270,HYDROXYZINE
271,TECTA
272,TAXOL
273,CANDESARTAN.
274,DASATINIB.
276,KEPPRA
278,DILANTIN
279,PHENOBARBITAL.
280,SENNOSIDES.
282,LOVENOX
283,SENOKOT
284,ZOCOR
286,OSCAL
287,PULMOZYME
288,PANCRELIPASE.
290,ENSURE
291,CREON
292,TOBRAMYCIN.
293,AZITHROMYCIN ANHYDROUS.
294,PROZAC
295,PAXIL
297,BETAMETHASONE.
298,MAGNESIUM SULFATE.
300,SAPHRIS
303,CAPECITABINE.
305,TEMESTA (LORAZEPAM)
306,VFEND
309,SYNAGIS
311,SERESTA
312,CELLCEPT
313,LISITRIL
316,PANTOZOL
317,ESOMEPRAZOLE
321,CIPRALEX
322,LIORESAL
323,TYSABRI
324,TRAMADOL HCL
325,OXYCODONE
326,DULOXETINE.
327,TEGRETOL
329,TRAVATAN Z
330,DEPAKINE CHRONO
331,ACLASTA
332,INFLIXIMAB
334,ELTROXIN
335,OXYCONTIN
337,MICARDIS
338,KARDEGIC
342,USTEKINUMAB
343,ACITRETIN.
344,ALEVE
345,FLONASE
346,ZYRTEC
347,MUCINEX
348,NIACIN.
349,XARELTO
350,AZACITIDINE.
354,TRAMAL
357,CHOLECALCIFEROL
358,VITAMIN B (UNSPECIFIED)
360,MYCOPHENOLATE MOFETIL.
361,PREDNISOLON
362,YERVOY
363,TUDORZA PRESSAIR
364,ATIVAN
365,LITHIUM.
366,RITUXAN
367,ACETAMINOPHEN.
368,SOLU-CORTEF
370,MINOCYCLINE
371,AVAMYS
372,REVLIMID
373,ARAVA
375,DILAUDID
376,COREG
377,FLEXERIL
378,COLACE
380,ULTRAM
381,DESYREL
383,COUMADINE
384,E Keppra
387,MYSLEE
389,AZOPT
391,XALATAN
392,NOVOLIN R
394,RANMARK
395,DENOTAS
396,RENIVACE
399,LASIX
400,DIOVAN
401,BAYASPIRIN
402,AMIODARONE
403,PRAVACHOL
404,VASOTEC
405,CARAFATE
407,TRILAFON
408,PRILOSEC
410,ZOPICLONE
412,MELOXICAM.
413,ROSUVASTATIN.
414,PREGABALIN.
415,HYDROXYCHLOROQUINE
416,PANTOLOC
417,LOMOTIL
418,ALPRAZOLAM.
419,REMERON
420,TIZANIDINE.
421,ZOLPIDEM
422,ESTRADIOL.
423,PROGESTERONE.
425,LIDOCAINE.
426,IRON
427,RITALIN
428,ADDERALL
430,BENADRYL
431,LANSOPRAZOLE.
434,HUMULIN R
438,GRAN
441,BFLUID
443,FENTANYL CITRATE.
444,CARBOPLATIN.
446,NAPROSYN
447,XYZAL
448,EFFEXOR XR
449,XANAX
450,PRILOSEC OTC
451,VALGANCICLOVIR.
452,CYCLOSPORINE.
453,THYMOGLOBULINE
455,MABTHERA
456,CHLOROQUINE.
457,SELOZOK
459,KETOPROFEN.
461,FLORINEF ACETATE
462,RANITIDINE.
463,TARCEVA
464,HCTZ
465,DOXYCYCLINE HYCLATE.
467,VENTOLIN HFA
468,MYFORTIC
469,TACROLIMUS.
470,BONIVA
471,ACTONEL
472,FORTEO
473,DOXYCYCLINE.
474,ILARIS
475,ULORIC
476,AZATHIOPRINE.
477,IMMUNE GLOBULIN
479,AVASTIN
480,RoActemra
482,MORPHINE SULFATE.
483,DEMEROL
485,VALIUM
486,IMITREX
487,SINEMET
491,VITAMIN E
492,FABRAZYME
493,PROLIA
494,ARIMIDEX
495,RAPAMUNE
496,VIAGRA
497,MIRENA
498,TOPAMAX
499,MAXALT
500,DEPO-PROVERA
501,PRENATAL VITAMINS
502,TOPIRAMATE.
506,RISPERDAL CONSTA
507,RISPERDAL M-TAB
508,INVEGA
509,INVEGA SUSTENNA
510,RISPERIDONE.
511,SERTRALINE HYDROCHLORIDE.
512,CONCERTA
513,VYVANSE
514,METHYLPHENIDATE.
515,SOLIRIS
516,OFLOXACINE
518,VENLAFAXINE HCL
519,SERTRALINE
520,MIRTAZAPINE.
521,PAROXETINE.
522,BUPROPION.
523,Doxorubicin
525,NOVALGIN
527,GASTER
528,WARFARIN
530,NEORAL
531,EDIROL
534,SODIUM VALPROATE
538,CORTISONE
539,SULFASALAZINE.
540,LEFLUNOMIDE.
542,REACTINE (CANADA)
543,romiplostim
544,REVOLADE
546,CLARITH
547,MUCOSTA
548,LUPRAC
550,Gadovist
553,ZANTAC
554,ERIVEDGE
556,LEXAPRO
557,METFORMIN HYDROCHLORIDE.
558,LOSARTAN.
559,MELATONIN
561,SANDOSTATIN
562,FLOLAN
563,COUMADIN
564,DILTIAZEM.
566,FLUTICASONE PROPIONATE.
568,PRAVASTATIN SODIUM.
569,NOVOLOG
570,ALLEGRA
571,STOOL SOFTENER (DOCUSATE)
572,LEVOXYL
573,CALCIUM
576,INTELENCE
577,NORVIR
578,TRUVADA
579,PREZISTA
580,VIDEX
581,KALETRA
583,URSO
585,LIVACT
586,MUCODYNE
587,AMIKACIN SULFATE.
589,BAYER ASPIRIN
590,NASONEX
592,CALCIUM CITRATE
594,ASPIRIN 81
595,TENORMIN
596,LIDODERM
597,PRINIVIL
598,ZESTRIL
599,SENNA
600,OLMETEC
601,NIFEDIPINE.
602,GLIMEPIRIDE.
603,LIMAPROST ALFADEX
604,BENLYSTA
605,IMURAN
606,CARDURA
607,DOXAZOSIN
608,ONDANSETRON
609,STILNOX
615,ADALIMUMAB
616,THALOMID
617,VANCOMYCIN
619,MESNA.
620,ACYCLOVIR.
621,METOPROLOL SUCCINATE.
622,WARFARIN SODIUM.
623,FLECAINIDE ACETATE.
627,CIPRO
628,FENTANYL.
629,MIDAZOLAM
630,BENZONATATE.
631,FLUTICASONE.
633,HEPARIN
635,ROBAXIN
636,ECOTRIN
639,LEVAQUIN
640,HYDROCODONE
641,PROAIR HFA
642,FIORINAL
643,TIZANIDINE HCL
644,OXYGEN.
645,MECLIZINE
646,ASA
647,MESALAZINE
650,DEPAKOTE
653,ESOMEPRAZOLE MAGNESIUM.
655,CATAPRES
656,APRESOLINE HYDROCHLORIDE
657,TOPROL XL
659,NAMENDA
661,NOVOLIN 70/30
662,CARDIZEM
664,MIZORIBINE
667,CLONIDINE.
668,ASPARA-CA
670,5-FLUOROURACIL
671,IRINOTECAN
