code,name
0,Cardiovascular event prophylaxis
1,Atrial fibrillation
2,Diabetes mellitus
3,Prophylaxis
4,Cardiac failure
5,Hypertension
6,Multiple sclerosis
7,Product used for unknown indication
8,Myelofibrosis
9,Essential thrombocythaemia
10,Maternal exposure timing unspecified
11,Alopecia
12,HIV infection
13,Prostate cancer
14,Osteoporosis
15,Low density lipoprotein increased
16,Blood cholesterol increased
17,Malignant melanoma stage III
18,Chronic myeloid leukaemia
19,Asthma
20,Respiratory rate decreased
21,Neuropathy peripheral
22,Diabetic neuropathy
23,Pain
24,Type 2 diabetes mellitus
25,Schizophrenia
26,Enterobacter infection
27,Gastric ulcer
28,Ventricular extrasystoles
29,Intervertebral disc protrusion
30,Thyroid hormone replacement therapy
31,Conjunctival haemorrhage
32,Eyelid ptosis
33,Diarrhoea
34,Eye discharge
35,Suicide attempt
36,Depression
37,Psoriasis
38,Hypothyroidism
39,Dyspepsia
40,Antidepressant therapy
41,Gaucher's disease
42,Haemochromatosis
43,Neuritis
44,Inflammatory pain
45,Hyperchlorhydria
46,Urinary incontinence
47,Routine health maintenance
48,B-cell lymphoma
49,Cardiac disorder
50,Hypercholesterolaemia
51,Analgesic therapy
52,Breast cancer
53,Seborrhoeic dermatitis
54,Multiple allergies
55,Gastrooesophageal reflux disease
56,Dyspnoea
57,Neuralgia
58,Insomnia
59,Growth retardation
60,Dysphagia
61,Flatulence
62,Blood pressure abnormal
63,Joint arthroplasty
64,Knee arthroplasty
65,Knee operation
66,Metastatic malignant melanoma
67,Premedication
68,Hip arthroplasty
69,Hypereosinophilic syndrome
70,Relapsing-remitting multiple sclerosis
71,Rheumatoid arthritis
72,Renal disorder
73,Hypopituitarism
74,Malignant melanoma
75,Anxiety
76,Herpes zoster
77,Psoriatic arthropathy
78,Carcinoid tumour
79,Neuroendocrine tumour
80,Pulmonary arterial hypertension
81,Collagen disorder
82,Prophylaxis against gastrointestinal ulcer
83,Arthralgia
84,Autoimmune disorder
85,Interstitial lung disease
86,Dermatomyositis
87,Cardiac failure congestive
88,Constipation
89,Pseudomembranous colitis
90,Skin ulcer
91,Lung infection
92,HER-2 positive breast cancer
93,Systemic lupus erythematosus
94,Schizoaffective disorder
95,Bipolar disorder
96,Post-traumatic stress disorder
97,Chronic spontaneous urticaria
98,Rubber sensitivity
99,Anaphylactic reaction
100,Seizure
101,Hypovitaminosis
102,Epilepsy
103,Gastric disorder
104,Bone density decreased
105,Bone disorder
106,Blood cholesterol
107,Cystic fibrosis
108,Pneumonia fungal
109,Pneumonia
110,Respiratory syncytial virus infection
111,Pneumonia viral
112,Prophylaxis against transplant rejection
113,Diabetes mellitus management
114,Psychotic disorder
115,Haemolytic anaemia
116,Muscle spasticity
117,Ankylosing spondylitis
118,Carpal tunnel syndrome
119,Pseudoxanthoma elasticum
120,Choroidal neovascularisation
121,Dyslipidaemia
122,Conjunctivitis allergic
123,Sinus disorder
124,Deep vein thrombosis
125,Thrombosis
126,Myelodysplastic syndrome
127,Rhinovirus infection
128,Pneumonia respiratory syncytial viral
129,Renal transplant
130,Chronic obstructive pulmonary disease
131,Inflammation
132,Plasma cell myeloma
133,Breast cancer metastatic
134,Arrhythmia
135,Back pain
136,Dry eye
137,Glaucoma
138,Infection prophylaxis
139,Metastases to bone
140,Mineral supplementation
141,Thrombosis prophylaxis
142,Cerebrovascular accident prophylaxis
143,Muscle spasms
144,Sleep disorder
145,Menopause
146,Red blood cell count decreased
147,Blood iron decreased
148,Pyrexia
149,Acute lymphocytic leukaemia
150,Neutropenic sepsis
151,Hyperglycaemia
152,Brain oedema
153,Neutropenia
154,Allergy prophylaxis
155,Thrombocytopenia
156,Antiviral prophylaxis
157,Bronchioloalveolar carcinoma
158,Lung neoplasm malignant
159,Blood pressure measurement
160,Transplant rejection
161,Sclerotherapy
162,Diverticulitis
163,Hyperlipidaemia
164,Myopathy
165,Immune-mediated necrotising myopathy
166,Off label use
167,Eye disorder
168,Still's disease
169,Parkinson's disease
170,Fabry's disease
171,Growth hormone deficiency
172,Osteopenia
173,Osteoporosis postmenopausal
174,Bone loss
175,Lymphangioleiomyomatosis
176,Erectile dysfunction
177,Contraception
178,Cerebrovascular accident
179,Conduct disorder
180,Oppositional defiant disorder
181,Attention deficit/hyperactivity disorder
182,Abnormal behaviour
183,Drug therapy
184,Haemolytic uraemic syndrome
185,Infection
186,Multiple organ dysfunction syndrome
187,Metastatic renal cell carcinoma
188,Intestinal mass
189,Ovarian cancer
190,Abdominal pain
191,Lupus nephritis
192,Hot flush
193,Night sweats
194,Pancreatic neuroendocrine tumour
195,Osteoporosis prophylaxis
196,Idiopathic generalised epilepsy
197,Body height below normal
198,Immune thrombocytopenic purpura
199,Renal scan
200,Abdomen scan
201,Seasonal allergy
202,Basal cell carcinoma
203,Nutritional supplementation
204,Anaemia
205,Cor pulmonale chronic
206,Pulmonary hypertension
207,Paroxysmal nocturnal haemoglobinuria
208,Generalised tonic-clonic seizure
209,Blood glucose abnormal
210,Hypersensitivity
211,Factor VIII deficiency
212,Liver disorder
213,Gastritis
214,Bronchitis chronic
215,Pyelonephritis
216,Macular degeneration
217,Affective disorder
218,Arthritis
219,Colorectal cancer metastatic
220,Colorectal cancer
221,Nausea
222,Cough
223,Fibromyalgia
224,Vertigo
225,Fluid retention
226,Lower respiratory tract congestion
227,Migraine
228,Muscle relaxant therapy
229,Anticoagulant therapy
230,Lung disorder
231,Dizziness
232,Schizoaffective disorder bipolar type
233,Memory impairment
234,Hypocalcaemia
235,Hepatic function abnormal
236,Graft versus host disease
237,Renal impairment
238,Asthenia
239,Finger deformity
240,Vein disorder
241,Thyroid disorder
242,Headache
243,Relaxation therapy
244,Raynaud's phenomenon
245,Oestrogen therapy
246,Osteoarthritis
247,Non-Hodgkin's lymphoma
248,Leukopenia
249,Vomiting
250,Prophylaxis of nausea and vomiting
251,Vulvovaginal dryness
252,Poor quality sleep
253,Neoplasm
254,Pneumoperitoneum
255,Myalgia
256,Mucosal infection
257,Crohn's disease
258,Sedative therapy
259,Antiinflammatory therapy
260,Abdominal discomfort
261,Major depression
262,Cataplexy
263,Narcolepsy
264,Intestinal obstruction
265,Bronchitis
266,Type 1 diabetes mellitus
267,Antibiotic prophylaxis
268,Antifungal prophylaxis
269,Device therapy
270,Infarction
271,Iron overload
