"druga","drugb","weight"
"3848","10901","2"
"1996","2808","2"
"1068","31590","4"
"1804","8977","2"
"1977","3627","4"
"1985","3407","2"
"1974","3772","2"
"5655","20739","3"
"5655","20740","3"
"5655","20743","3"
"5779","16948","4"
"5779","16949","4"
"5779","16950","4"
"1804","9243","2"
"1882","6827","2"
"20077","32661","2"
"3982","7336","2"
"6065","8360","4"
"1985","3824","2"
"1208","28081","2"
"2","12","2"
"2","14","11"
"2","18","9"
"2","20","3"
"2","27","5"
"2","30","6"
"2","31","9"
"2","33","3"
"2","40","3"
"2","60","12"
"2","64","2"
"2","65","6"
"2","68","2"
"2","75","3"
"2","76","12"
"2","80","5"
"2","81","3"
"0","144","2"
"2","83","2"
"2","85","2"
"0","145","2"
"2","94","8"
"4","33","2"
"2","118","2"
"2","119","9"
"2","126","2"
"2","129","4"
"2","131","12"
"2","133","10"
"2","136","3"
"6","14","2"
"2","144","8"
"2","145","3"
"2","147","13"
"4089","4523","4"
"2","149","3"
"2","154","4"
"2","155","2"
"4","85","2"
"6","20","2"
"2","162","4"
"2","165","4"
"2","168","3"
"2","172","3"
"6","49","3"
"2","175","2"
"4","119","2"
"1302","25414","2"
"0","248","4"
"6","65","3"
"2","191","5"
"6","68","2"
"6","69","9"
"2","186","2"
"2","198","2"
"2","200","3"
"5854","15400","4"
"6","89","2"
"2","216","3"
"6","94","3"
"2","219","2"
"2","221","4"
"2","239","2"
"6","123","2"
"2","248","8"
"6","125","2"
"2","251","3"
"2","253","13"
"10","14","2"
"2","262","2"
"2","267","3"
"10","20","2"
"2","276","2"
"20490","20491","4"
"10","33","2"
"6","166","3"
"6","173","2"
"2","317","2"
"10","76","4"
"12","14","2"
"12","17","2"
"2","325","2"
"12","24","2"
"10","94","2"
"12","43","4"
"11","76","2"
"12","50","4"
"12","51","6"
"12","52","6"
"12","57","11"
"2","367","2"
"12","60","2"
"10","123","2"
"2","372","3"
"12","65","2"
"11","97","3"
"12","68","2"
"12","69","3"
"10","133","2"
"13","14","2"
"12","80","2"
"14","20","4"
"10","144","4"
"12","89","10"
"12","90","2"
"14","30","3"
"14","31","6"
"12","94","2"
"13","65","2"
"13","68","2"
"13","69","2"
"2","399","2"
"10","162","2"
"13","77","3"
"14","51","2"
"14","60","7"
"13","94","2"
"12","126","2"
"14","68","4"
"12","131","3"
"12","129","2"
"14","43","2"
"2","444","2"
"14","76","15"
"14","80","8"
"14","81","2"
"12","147","5"
"12","144","4"
"14","77","5"
"12","154","3"
"14","94","6"
"14","98","2"
"14","69","4"
"14","119","10"
"14","126","3"
"14","129","5"
"14","131","4"
"14","133","5"
"12","200","2"
"10","262","2"
"12","201","2"
"10","267","4"
"14","144","13"
"14","145","7"
"14","136","6"
"2","519","2"
"2","520","3"
"14","149","5"
"14","150","3"
"2","509","3"
"12","216","4"
"14","154","3"
"2","502","3"
"14","162","3"
"14","164","2"
"1294","25996","3"
"13","200","2"
"14","125","6"
"2","544","2"
"6","427","2"
"12","242","4"
"18","60","2"
"2","558","9"
"18","65","2"
"14","191","3"
"2","569","4"
"13","235","2"
"12","248","4"
"20","27","2"
"20","28","3"
"0","646","2"
"13","248","3"
"20","31","5"
"20","33","5"
"14","218","2"
"10","349","2"
"18","94","3"
"14","219","2"
"2","602","8"
"20","44","3"
"2","607","2"
"20","51","3"
"14","243","3"
"18","119","3"
"20","60","2"
"14","248","3"
"10","372","9"
"14","251","4"
"20","65","4"
"14","253","2"
"20","68","9"
"18","133","3"
"18","120","2"
"20","76","6"
"14","262","6"
"14","264","4"
"20","82","2"
"14","267","4"
"2","646","4"
"10","399","3"
"20","94","4"
"17","133","2"
"6065","9119","4"
"12","346","2"
"18","144","2"
"18","172","2"
"12","367","3"
"20","119","3"
"20","124","2"
"20","123","6"
"20","131","2"
"23","40","2"
"20","136","3"
"20","144","8"
"23","52","2"
"14","335","2"
"12","399","2"
"20","156","3"
"20","154","2"
"20","155","2"
"1996","4440","2"
"12","408","2"
"20","162","3"
"14","349","2"
"20","164","3"
"20","166","3"
"12","414","2"
"20","172","4"
"2067","2235","3"
"14","364","2"
"20","165","2"
"12","430","2"
"12","431","3"
"14","372","6"
"18","248","2"
"2","746","2"
"1997","4440","2"
"20","195","4"
"2","754","2"
"13","414","2"
"20","200","2"
"2","758","2"
"25","51","3"
"18","267","2"
"14","399","3"
"20","216","6"
"2","774","4"
"20","218","4"
"26","31","2"
"12","467","5"
"1996","4506","4"
"1996","4507","2"
"14","378","2"
"2","787","4"
"17","248","3"
"2","800","3"
"27","30","2"
"27","31","4"
"20","248","4"
"26","68","2"
"26","69","3"
"1997","4506","4"
"1997","4507","2"
"6","692","2"
"20","264","2"
"20","261","2"
