cgn,CG_Subgroup,FCID_Code,FCID_Desc
,,0,Not an EPA Food Commodity
1,1AB,101050000,"Beet, garden, roots"
1,1AB,101050001,"Beet, garden, roots-babyfood"
1,1A,101052000,"Beet, sugar"
1,1A,101052001,"Beet, sugar-babyfood"
1,1A,101053000,"Beet, sugar, molasses"
1,1A,101053001,"Beet, sugar, molasses-babyfood"
1,1AB,101067000,Burdock
1,1AB,101078000,Carrot
1,1AB,101078001,Carrot-babyfood
1,1AB,101079000,"Carrot, juice"
1,1AB,101084000,Celeriac
1,1AB,101100000,"Chicory, roots"
1,1AB,101168000,"Ginseng, dried"
1,1AB,101190000,Horseradish
1,1AB,101250000,"Parsley, turnip rooted"
1,1AB,101251000,Parsnip
1,1AB,101251001,Parsnip-babyfood
1,1AB,101314000,"Radish, roots"
1,1AB,101316000,"Radish, Oriental, roots"
1,1AB,101327000,Rutabaga
1,1AB,101331000,"Salsify, roots"
1,1AB,101388000,"Turnip, roots"
1,1CD,103015000,"Arrowroot, flour"
1,1CD,103015001,"Arrowroot, flour-babyfood"
1,1CD,103017000,"Artichoke, Jerusalem"
1,1CD,103082000,Cassava
1,1CD,103082001,Cassava-babyfood
1,1CD,103139000,"Dasheen, corm"
1,1CD,103166000,Ginger
1,1CD,103166001,Ginger-babyfood
1,1CD,103167000,"Ginger, dried"
1,1C,103296000,"Potato, chips"
1,1C,103297000,"Potato, dry (granules/ flakes)"
1,1C,103297001,"Potato, dry (granules/ flakes)-babyfood"
1,1C,103298000,"Potato, flour"
1,1C,103298001,"Potato, flour-babyfood"
1,1C,103299000,"Potato, tuber, w/peel"
1,1C,103299001,"Potato, tuber, w/peel-babyfood"
1,1C,103300000,"Potato, tuber, w/o peel"
1,1C,103300001,"Potato, tuber, w/o peel-babyfood"
1,1CD,103366000,Sweet potato
1,1CD,103366001,Sweet potato-babyfood
1,1CD,103371000,"Tanier, corm"
1,1CD,103387000,Turmeric
1,1CD,103406000,"Yam, true"
1,1CD,103407000,Yam bean
2,2,200051000,"Beet, garden, tops"
2,2,200101000,"Chicory, tops"
2,2,200140000,"Dasheen, leaves"
2,2,200317000,"Radish, Oriental, tops"
2,2,200332000,"Salsify, tops"
3,3A,301165000,"Garlic, bulb"
3,3A,301165001,"Garlic, bulb-babyfood"
3,3A,301237000,"Onion, bulb"
3,3A,301237001,"Onion, bulb-babyfood"
3,3A,301238000,"Onion, bulb, dried"
3,3A,301238001,"Onion, bulb, dried-babyfood"
3,3A,301338000,"Shallot, bulb"
3,3B,302103000,"Chive, fresh leaves"
3,3B,302198000,Leek
3,3B,302239000,"Onion, green"
3,3B,302338500,"Shallot, fresh leaves"
4,4A,401005000,"Amaranth, leafy"
4,4A,401104000,"Chrysanthemum, garland"
4,4A,401118000,"Cilantro, leaves"
4,4A,401118001,"Cilantro, leaves-babyfood"
4,4A,401138000,"Dandelion, leaves"
4,4A,401144000,Dillweed
4,4A,401150000,Endive
4,4A,401204000,"Lettuce, head"
4,4A,401205000,"Lettuce, leaf"
4,4A,401248000,"Parsley, leaves"
4,4A,401313000,Radicchio
4,4A,401355000,Spinach
4,4A,401355001,Spinach-babyfood
4,4A,401367000,Swiss chard
4,4B,402018000,Arugula
4,4B,402062000,"Broccoli, Chinese"
4,4B,402063000,Broccoli raab
4,4B,402070000,"Cabbage, Chinese, bok choy"
4,4B,402117000,Collards
4,4B,402133000,"Cress, garden"
4,4B,402134000,"Cress, upland"
4,4B,402194000,Kale
4,4B,402229000,Mustard greens
4,4B,402315000,"Radish, tops"
4,4B,402318000,Rape greens
4,4B,402389000,"Turnip, greens"
4,4B,402398000,Watercress
5,5,500061000,Broccoli
5,5,500061001,Broccoli-babyfood
5,5,500064000,Brussels sprouts
5,5,500069000,Cabbage
5,5,500071000,"Cabbage, Chinese, napa"
5,5,500072000,"Cabbage, Chinese, mustard"
5,5,500083000,Cauliflower
6,6,600347000,"Soybean, seed"
6,6,600348000,"Soybean, flour"
6,6,600348001,"Soybean, flour-babyfood"
6,6,600349000,"Soybean, soy milk"
