"FCID_CODE","FCID_DESC","CGN","CG_SUBGROUP","POPULARITY","INTAKE_SUM","INTAKE_AVG","INTAKE_BW_AVG","RECIPES"
"4000095001","Chicken, meat byproducts-babyfood","40","40","1","1.1900000","1.19","0.0944444444","16"
"1202012000","Apricot","12","12B","41","206.2456800","5.03038243902439024390243902439024","0.10341924133170731707317073170731707","25"
"1202012001","Apricot-babyfood","12","12B","2","9.6919000","4.84595","0.63587432795","7"
"2402245000","Papaya","24","24B","8","136.0787620","17.00984525","0.3528050758625","5"
"4000095000","Chicken, meat byproducts","40","40","356","1674.8677145","4.36163467317708333333333333333333","0.09012005733255208333333333333333333","540"
"1202260000","Peach","12","12B","476","7848.3972847","14.09047986481149012567324955116697","0.29966588478581687612208258527827648","179"
"1003181000","Grapefruit, juice","10","10C","242","2282.5433697","9.24106627408906882591093117408907","0.22703148356477732793522267206477733","63"
"1202260001","Peach-babyfood","12","12B","5","323.5148600","64.702972","8.00053633454","16"
"101327000","Rutabaga","1","1AB","4","2.6103250","0.65258125","0.0072289595","24"
"1201090000","Cherry","12","12A","291","1225.2996738","3.84106480815047021943573667711599","0.05451380174858934169278996865203762","176"
"1902274000","Pepper, black and white","19","19B","686","22.0374975","0.02518571142857142857142857142857","0.00047789424765714285714285714285714","1000"
"1902274001","Pepper, black and white-babyfood","19","19B","1","0.0068000","0.0068","0.0005396825","7"
"1201090001","Cherry-babyfood","12","12A","2","3.6727200","1.83636","0.24096290325","8"
"401313000","Radicchio","4","4A","45","148.9107129","3.30912695333333333333333333333333","0.06012645570666666666666666666666667","6"
"101078000","Carrot","1","1AB","372","8327.0664724","20.06522041542168674698795180722892","0.47593041636385542168674698795180723","756"
"402389000","Turnip, greens","4","4B","3","372.2454140","124.08180466666666666666666666666667","1.57995249026666666666666666666666667","65"
"101078001","Carrot-babyfood","1","1AB","13","436.4252500","33.57117307692307692307692307692308","4.060804744","50"
"301165000","Garlic, bulb","3","3A","976","635.5695990","0.4359187921810699588477366255144","0.00941106056117969821673525377229081","1286"
"301165001","Garlic, bulb-babyfood","3","3A","1","0.8500000","0.85","0.0674603175","6"
"103296000","Potato, chips","1","1C","196","3900.6568828","19.90131062653061224489795918367347","0.41190696226836734693877551020408163","7"
"802234000","Okra","8","8BC","6","220.2022020","31.45745742857142857142857142857143","0.48780081072857142857142857142857143","74"
"603034000","Bean, cowpea, seed","6","6C","4","167.6560214","41.91400535","0.675899052375","20"
"101050000","Beet, garden, roots","1","1AB","10","290.2771470","29.0277147","0.6030994659","31"
"1500328000","Rye, grain","15","15","54","338.2324988","6.14968179636363636363636363636364","0.12900301471272727272727272727272727","74"
"1301058000","Boysenberry","13","13A","197","80.9454463","0.40881538535353535353535353535354","0.00636626831414141414141414141414141","34"
"9500186000","Honey","95","O","668","986.0170839","1.19084188876811594202898550724638","0.02431510550712560386473429951690821","631"
"603040000","Bean, navy, seed","6","6C","60","1619.9627889","26.999379815","0.65704927792833333333333333333333333","87"
"1500126000","Corn, pop","15","15","91","2146.9294147","23.59263093076923076923076923076923","0.51100583736263736263736263736263736","19"
"1400059000","Brazil nut","14","14","1","9.0480000","9.048","0.0804266667","4"
"1400112000","Coconut, dried","14","14","60","152.0547892","2.37585608125","0.0486550024875","55"
"1901249000","Parsley, dried leaves","19","19A","46","22.9600996","0.47833540833333333333333333333333","0.01191784231458333333333333333333333","110"
"3400295000","Pork, liver","34","34","5","122.7110400","24.542208","0.30167493734","9"
"1001241000","Orange, juice","10","10A","534","89425.8187718","150.29549373411764705882352941176471","3.36286453575462184873949579831932773","147"
"3800221000","Meat, game","38","38","5","319.5628250","63.912565","0.81061990834","50"
"1100011000","Apple, sauce","11","11","29","3345.7897540","115.3720604827586206896551724137931","4.48877788378620689655172413793103448","16"
"1100011001","Apple, sauce-babyfood","11","11","9","578.1142600","64.23491777777777777777777777777778","7.52363296718888888888888888888888889","24"
"1001241001","Orange, juice-babyfood","10","10A","4","378.2257500","94.5564375","10.7129882566","16"
"103407000","Yam bean","1","1CD","1","143.5300000","143.53","1.9990250696","2"
"1203285000","Plum","12","12C","14","1438.9508000","102.7822","1.59094156198571428571428571428571429","10"
"1307130000","Cranberry","13","13GH","5","239.2746950","47.854939","0.56406306394","14"
"2303141000","Date","23","23C","6","80.7182749","13.45304581666666666666666666666667","0.14805073505","19"
"103366000","Sweet potato","1","1CD","19","1810.3410190","95.28110626315789473684210526315789","1.85423855036315789473684210526315789","73"
"103366001","Sweet potato-babyfood","1","1CD","6","307.7750000","51.29583333333333333333333333333333","5.7303491637","7"
"6000304000","Poultry, other, fat","60","60","4","15.5812200","3.895305","0.058188423525","15"
"8000158000","Fish-freshwater finfish, farm raised","80","80","4","233.8882500","58.4720625","0.61517468545","42"
"1203285001","Plum-babyfood","12","12C","3","66.7020000","22.234","2.77133047923333333333333333333333333","7"
"200051000","Beet, garden, tops","2","2","1","259.9768800","259.97688","2.9080187919","6"
"801376000","Tomato, paste","8","8A","212","3354.0208210","14.64637913100436681222707423580786","0.33564364825196506550218340611353712","242"
"801376001","Tomato, paste-babyfood","8","8A","2","9.9170000","4.9585","0.3866123321","18"
"3500339000","Sheep, meat","35","35","67","14.5040443","0.21329476911764705882352941176471","0.00487532471176470588235294117647059","137"
"2001336000","Sesame, seed","20","20A","70","132.0540601","1.80895972739726027397260273972603","0.03884740078356164383561643835616438","67"
"500071000","Cabbage, Chinese, napa","5","5","12","206.8980500","17.24150416666666666666666666666667","0.320620234775","20"
"1500404000","Wheat, bran","15","15","261","783.1477408","2.84780996654545454545454545454545","0.05189746967563636363636363636363636","137"
"9500054000","Belgium endive","95","O","45","148.9107129","3.30912695333333333333333333333333","0.06012645570666666666666666666666667","5"
"2301235000","Olive","23","23A","64","503.0591980","7.50834623880597014925373134328358","0.11671683071641791044776119402985075","135"
"2402217000","Mango, juice","24","24B","201","1186.0322030","5.87144654950495049504950495049505","0.15795657247227722772277227722772277","35"
"1500323000","Rice, white","15","15","450","17632.9443962","34.98600078611111111111111111111111","0.71889546365099206349206349206349206","625"
"1902119000","Coriander, seed","19","19B","557","5.7847767","0.00880483515981735159817351598174","0.00017792518462709284627092846270928","624"
"1500323001","Rice, white-babyfood","15","15","2","5.8965250","2.9482625","0.32864608435","7"
"1500121000","Corn, field, meal","15","15","363","9225.5377264","22.949098821890547263681592039801","0.494171209128109452736318407960199","258"
"1304175000","Grape","13","13DF","160","7367.2428751","43.33672279470588235294117647058824","1.29592962776764705882352941176470588","41"
"3400290000","Pork, meat","34","34","712","25921.5867460","29.12537836629213483146067415730337","0.54373497591280898876404494382022472","1108"
"401204000","Lettuce, head","4","4A","423","13978.3075300","31.84124722095671981776765375854214","0.55599619402733485193621867881548975","264"
"2001319000","Rapeseed, oil","20","20A","1363","1884.9249989","1.38292369691856199559794570799707","0.02873124422076302274394717534849596","4068"
"2001319001","Rapeseed, oil-babyfood","20","20A","1","1.2544000","1.2544","0.12544","3"
"3100045000","Beef, meat, dried","31","31","14","235.3305014","16.80932152857142857142857142857143","0.27858205857857142857142857142857143","13"
"5000382000","Turkey, meat","50","50","328","9929.8299762","27.81464979327731092436974789915966","0.57648009019047619047619047619047619","456"
"4000096000","Chicken, fat","40","40","740","5305.8057817","5.88226805066518847006651884700665","0.11306505058647450110864745011086475","1420"
"1400003000","Almond","14","14","191","937.8707899","4.6893539495","0.0986801214495","149"
"1202013000","Apricot, dried","12","12B","3","94.0221920","31.34073066666666666666666666666667","0.42560201256666666666666666666666667","6"
"1301320000","Raspberry","13","13A","296","569.0372437","1.74017505718654434250764525993884","0.04066805961314984709480122324159021","141"
"3500340000","Sheep, meat byproducts","35","35","58","0.4915124","0.00847435172413793103448275862069","0.00013419001551724137931034482758621","93"
"1301320001","Raspberry-babyfood","13","13A","3","4.1923200","1.39744","0.16727656556666666666666666666666667","6"
"5000382001","Turkey, meat-babyfood","50","50","4","93.1185000","23.279625","2.523622346525","18"
"4000096001","Chicken, fat-babyfood","40","40","1","2.5500000","2.55","0.2023809524","20"
"1500231000","Oat, bran","15","15","18","75.1754172","4.17641206666666666666666666666667","0.16474493405555555555555555555555556","70"
"9500372000","Tea, dried","95","O","182","300.7744966","1.65260712417582417582417582417582","0.02411342456043956043956043956043956","17"
"1202261000","Peach, dried","12","12B","33","3.0756741","0.09320224545454545454545454545455","0.00097960518181818181818181818181818","10"
"1201091000","Cherry, juice","12","12A","221","268.2154463","1.14134232468085106382978723404255","0.04794437976553191489361702127659574","39"
"2001163000","Flax seed, oil","20","20A","3","10.2674727","3.4224909","0.04669322786666666666666666666666667","4"
"402229000","Mustard greens","4","4B","1","152.8650000","152.865","1.8285287081","41"
"2402246000","Papaya, dried","24","24B","1","3.0221920","3.022192","0.0312209917","3"
"103015000","Arrowroot, flour","1","1CD","28","0.0086900","0.00031035714285714285714285714286","0.00001715856428571428571428571428571","2"
"101079000","Carrot, juice","1","1AB","7","452.0231992","64.57474274285714285714285714285714","0.9572015902","8"
"103297000","Potato, dry (granules/ flakes)","1","1C","63","1238.1003776","19.65238694603174603174603174603175","0.50410878801587301587301587301587302","86"
"802148000","Eggplant","8","8BC","4","273.6371680","68.409292","0.7902029088","39"
"603035000","Bean,  great northern, seed","6","6C","60","1613.1330539","26.88555089833333333333333333333333","0.6450672867","77"
"602033000","Bean, cowpea, succulent","6","6B","3","388.1736350","129.39121166666666666666666666666667","1.82757889333333333333333333333333333","40"
"2201019000","Asparagus","22","22A","15","1116.7700000","74.45133333333333333333333333333333","1.10598293422","36"
"500083000","Cauliflower","5","5","38","1201.6022900","31.62111289473684210526315789473684","0.94942227057368421052631578947368421","90"
"3200169000","Goat, meat","32","32","1","64.9699000","64.9699","0.8329474359","8"
"603041000","Bean, pink, seed","6","6C","2","127.4682500","63.734125","0.8277938411","14"
"402194000","Kale","4","4B","1","65.3400000","65.34","0.7958587089","43"
"1500127000","Corn, sweet","15","15","158","8546.5864358","52.75670639382716049382716049382716","1.24732114457839506172839506172839506","358"
"2202322000","Rhubarb","22","22B","3","190.3859380","63.46197933333333333333333333333333","0.6554944641","11"
"1001242000","Orange, peel","10","10A","8","8.2468515","1.0308564375","0.0159999925875","15"
"3600222000","Milk, fat","36","36","1413","25768.9011394","5.90082462546370506068239065720174","0.15119353962686054499656514769864896","5634"
"3600222001","Milk, fat-baby food/infant formula","36","36","9","0.7903510","0.08781677777777777777777777777778","0.00907378001111111111111111111111111","43"
"603203000","Lentil, seed","6","6C","4","284.3835746","71.09589365","0.951311634575","24"
"1203286000","Plum, prune, fresh","12","12C","2","29.2890000","14.6445","0.43588832365","6"
"1203286001","Plum, prune, fresh-babyfood","12","12C","2","4.6929200","2.34646","0.307897043","5"
"7000145000","Egg, whole","70","70","951","31350.6957230","22.32955535826210826210826210826211","0.4938096810710113960113960113960114","2008"
"2405253000","Passionfruit, juice","24","24E","203","167.8388808","0.81872624780487804878048780487805","0.01515436737707317073170731707317073","40"
"1500381000","Triticale, flour","15","15","4","8.7853369","2.196334225","0.03239557995","14"
"1902143000","Dill, seed","19","19B","147","36.4829391","0.24818325918367346938775510204082","0.0050246330598639455782312925170068","164"
"1307131000","Cranberry, dried","13","13GH","16","0.0215900","0.001349375","0.00002486464375","8"
"7000145001","Egg, whole-babyfood","70","70","1","1.7000000","1.7","0.1349206349","7"
"8000159000","Fish-saltwater finfish, tuna","80","80","35","2245.5180270","64.15765791428571428571428571428571","1.18556209511714285714285714285714286","139"
"801377000","Tomato, puree","8","8A","626","18757.8664682","26.30836811809256661991584852734923","0.58274938393253856942496493688639551","632"
"801377001","Tomato, puree-babyfood","8","8A","2","29.7510000","14.8755","1.15983699635","5"
"2100228000","Mushroom","21","21","129","2374.7095936","16.84191201134751773049645390070922","0.29558978303120567375886524822695035","463"
"2001337000","Sesame, oil","20","20A","641","16.7197711","0.02608388627145085803432137285491","0.00059733614446177847113884555382215","1026"
"500072000","Cabbage, Chinese, mustard","5","5","12","206.8980500","17.24150416666666666666666666666667","0.320620234775","20"
