fcid_code,age,gender,ethnicity,height,bodyweight,intake_bw
103296000,0,2,4,70.4,9.4,0.3158927660
103296000,0,1,1,68.9,10.1,0.4601726733
103296000,0,2,5,78.4,11.1,0.2583169369
103296000,0,1,4,69.8,8.4,0.4149771429
103296000,0,1,1,79.3,13.0,0.4965538462
103296000,0,1,1,72.1,8.7,0.6180668506
103296000,0,2,1,74.1,9.6,0.2420700000
103296000,0,2,1,71.8,8.3,0.2799845783
103296000,0,2,4,69.1,10.0,1.8074560000
103296000,0,2,1,73.8,11.5,0.3739980000
103296000,0,2,1,73.8,10.0,0.4647744000
103296000,0,2,4,70.0,9.4,0.3158927660
103296000,0,2,1,68.0,8.9,0.1305546067
103296000,0,2,1,68.4,8.8,0.7922290909
103296000,0,1,2,78.5,12.4,0.3748180645
103296000,1,1,1,79.2,11.1,0.5166338739
103296000,1,2,4,78.6,10.8,0.4124155556
103296000,1,1,1,76.3,9.5,2.4461810526
103296000,1,2,1,75.9,9.2,0.5051895652
103296000,1,2,3,88.8,14.6,0.8290068493
103296000,1,2,5,79.6,9.4,0.4575507447
103296000,1,2,4,78.0,11.2,0.4149771429
103296000,1,1,4,83.1,10.5,2.1640289524
103296000,1,2,4,86.3,12.9,0.7095715969
103296000,1,2,4,82.7,10.1,0.6902590099
103296000,1,1,4,83.1,10.5,0.8717593905
103296000,1,2,1,84.4,12.7,0.9530314961
103296000,1,1,3,83.0,11.2,0.7204464286
103296000,1,2,4,81.2,12.3,0.9446634146
103296000,1,2,4,75.9,8.9,0.9066292135
103296000,1,2,1,90.0,13.7,1.9109386861
103296000,1,2,4,80.8,10.1,1.3984136238
103296000,1,1,3,91.6,12.7,0.0914910236
103296000,1,2,3,84.4,12.2,0.6613934426
103296000,1,2,1,80.1,10.1,0.6902590099
103296000,1,1,3,77.9,9.9,1.2225757576
103296000,1,2,2,78.2,10.8,0.4124155556
103296000,1,1,4,86.0,11.4,1.5854877193
103296000,1,2,3,85.4,13.3,0.6824068571
103296000,1,2,3,84.4,12.2,0.6349377049
103296000,1,2,4,85.5,12.1,0.3841110744
103296000,1,2,3,72.9,8.2,1.7003941463
103296000,1,1,3,82.9,11.9,0.4882084034
103296000,1,2,1,84.4,12.7,0.9149102362
103296000,1,2,3,80.5,10.6,0.4384664151
103296000,1,1,3,83.4,13.2,0.5623848485
103296000,1,1,3,89.4,15.3,0.9231357908
103296000,1,2,4,79.7,11.0,0.5504525091
103296000,1,2,4,89.1,12.1,0.6668595041
103296000,1,1,4,87.4,12.7,1.1779464567
103296000,1,2,4,78.0,11.2,0.5377412143
103296000,1,1,4,77.7,12.4,0.2811135484
103296000,1,1,1,87.4,12.0,1.2372466667
103296000,1,2,4,74.7,10.5,0.3319817143
103296000,1,1,3,84.8,14.0,0.4149771429
103296000,1,2,3,86.0,11.9,1.0171008403
103296000,1,2,3,85.5,14.0,0.5120210714
103296000,1,2,2,85.4,11.0,1.2839979636
103296000,1,1,1,82.1,10.0,1.4123977600
103296000,1,1,4,83.4,11.4,1.5854877193
103296000,1,1,3,81.5,12.1,0.7682221488
103296000,1,2,4,84.3,11.7,0.5958646154
103296000,1,2,4,84.3,10.6,1.3153992453
103296000,1,2,3,79.3,11.3,0.4113047788
103296000,1,2,3,78.7,11.2,0.5120210714
103296000,1,1,2,84.5,12.1,0.3681064463
103296000,1,1,1,88.6,15.9,1.1367647799
103296000,1,2,4,86.3,12.9,0.7005643411
103296000,1,1,4,77.4,9.3,1.8435495914
103296000,1,2,2,88.1,13.7,0.5154736350
103296000,1,2,3,82.3,11.0,0.7335454545
103296000,1,2,4,75.9,8.9,1.5869637753
103296000,1,2,5,70.8,8.3,2.4887518072
103296000,1,1,3,76.8,11.4,0.3057726316
103296000,1,1,4,96.3,15.4,0.5239610390
103296000,1,1,1,88.2,13.1,0.3942106870
103296000,1,2,3,82.9,10.8,0.4303466667
103296000,1,1,4,88.3,12.8,0.6354337500
103296000,1,1,2,81.5,13.4,0.4335582090
103296000,1,1,1,81.0,10.9,3.4348770642
103296000,1,1,1,91.3,12.6,0.8904714286
103296000,1,2,3,72.5,6.8,0.5126188235
103296000,1,1,3,74.7,9.0,0.3873120000
103296000,1,2,3,80.5,10.4,0.2855184615
103296000,1,2,4,87.4,11.5,1.5717008696
103296000,1,1,1,80.7,11.3,1.5995185841
103296000,1,2,3,79.8,10.4,0.3879326923
103296000,1,2,4,78.7,8.9,0.9066292135
103296000,1,1,3,89.8,13.3,0.3033458647
103296000,1,1,4,86.1,12.7,1.4231937008
103296000,1,2,4,82.0,10.0,1.8300492000
103296000,1,2,3,77.2,11.2,0.5406230000
103296000,1,1,4,78.8,11.9,1.4457065546
103296000,1,1,4,82.9,11.7,1.5448341880
103296000,1,2,4,80.5,11.2,0.5120210714
103296000,1,2,3,80.7,11.3,0.7140707965
103296000,1,2,4,82.9,11.3,2.0530963540
103296000,1,2,5,80.9,10.2,0.1139152941
103296000,1,2,1,84.4,10.3,1.3537118447
103296000,1,1,3,89.8,13.3,0.6115452632
103296000,1,2,1,90.6,12.3,0.6035349593
103296000,1,2,4,79.6,9.7,1.8633567010
103296000,1,2,1,84.6,12.2,0.8465836066
103296000,1,1,5,80.4,11.3,0.5141309735
103296000,1,2,4,78.2,10.4,0.6703476923
103296000,1,1,3,77.9,9.6,0.4639675000
