"FOOD_CODE","CG_SUBGROUP","NUMBER"
"11000000","37","1"
"11100000","36","3"
"11111000","36","3"
"11111100","36","3"
"11111150","36","3"
"11111160","36","3"
"11111170","36","3"
"11112000","36","3"
"11112110","36","3"
"11112120","36","3"
"11112130","36","3"
"11112210","36","3"
"11113000","36","3"
"11114300","36","3"
"11114310","36","3"
"11114320","36","3"
"11114321","36","3"
"11114330","36","3"
"11114350","36","3"
"11115000","36","3"
"11115100","36","3"
"11115200","36","3"
"11115300","36","3"
"11116000","36","3"
"11120000","36","3"
"11120000","86B","1"
"11121100","36","3"
"11121100","86B","1"
"11121210","36","3"
"11121210","86B","1"
"11121300","36","3"
"11121300","86B","1"
"11210000","36","3"
"11210000","86B","1"
"11210050","36","3"
"11210100","36","3"
"11210200","36","3"
"11210200","86B","1"
"11211000","36","3"
"11211000","86B","1"
"11211050","36","3"
"11211100","36","3"
"11211200","36","3"
"11211200","86B","1"
"11211400","36","3"
"11211500","36","3"
"11212000","36","3"
"11212000","86B","1"
"11212050","36","3"
"11212100","36","3"
"11220000","1A","1"
"11220000","36","3"
"11220000","O","1"
"11220100","1A","1"
"11220100","36","3"
"11220100","O","1"
"11220200","1A","1"
"11220200","36","3"
"11220200","86B","1"
"11220200","O","1"
"11310000","15","1"
"11310000","1A","1"
"11310000","20A","1"
"11310000","20B","2"
"11310000","20C","1"
"11310000","36","1"
"11310000","6","1"
"11310000","O","1"
"11320000","6","1"
"11320100","6","1"
"11320200","6","1"
"11321000","6","1"
"11321000","O","1"
"11321100","6","1"
"11321100","O","1"
"11321200","6","1"
"11321200","O","1"
"11330000","6","1"
"11340000","14","1"
"11340000","15","2"
"11340000","1A","1"
"11340000","36","1"
"11340000","6C","1"
"11340000","O","2"
"11410000","12A","1"
"11410000","12B","1"
"11410000","13A","1"
"11410000","13B","1"
"11410000","13G","1"
"11410000","15","1"
"11410000","24B","1"
"11410000","36","3"
"11411010","36","3"
"11411100","36","3"
"11411200","36","3"
"11411300","36","3"
"11420000","10B","1"
"11420000","15","1"
"11420000","19B","1"
"11420000","36","3"
"11420000","O","3"
"11421000","10B","1"
"11421000","15","1"
"11421000","19B","1"
"11421000","36","3"
"11421000","O","3"
"11422000","10B","1"
"11422000","15","1"
"11422000","19B","1"
"11422000","36","3"
"11422000","O","3"
"11422100","10B","1"
"11422100","15","1"
"11422100","19B","1"
"11422100","36","3"
"11422100","O","3"
"11423000","10B","1"
"11423000","15","1"
"11423000","19B","1"
"11423000","36","3"
"11423000","O","3"
"11424000","10B","1"
"11424000","15","1"
"11424000","19B","1"
"11424000","31","1"
"11424000","34","1"
"11424000","36","3"
"11424000","O","3"
"11425000","15","3"
"11425000","1A","1"
"11425000","1C","1"
"11425000","1CD","1"
"11425000","36","3"
"11425000","O","3"
"11426000","15","3"
"11426000","1A","1"
"11426000","1C","1"
"11426000","1CD","1"
"11426000","36","3"
"11426000","O","3"
"11427000","14","1"
"11427000","15","3"
"11427000","1A","1"
"11427000","1C","1"
"11427000","1CD","1"
"11427000","36","3"
"11427000","O","3"
"11430000","12A","1"
"11430000","12B","1"
"11430000","13A","1"
"11430000","13B","1"
"11430000","13G","1"
"11430000","15","1"
"11430000","24B","1"
"11430000","36","3"
"11431000","12A","1"
"11431000","12B","1"
"11431000","13A","1"
"11431000","13B","1"
"11431000","13G","1"
"11431000","15","1"
"11431000","24B","1"
"11431000","36","3"
"11432000","12A","1"
"11432000","12B","1"
"11432000","13A","1"
"11432000","13B","1"
"11432000","13G","1"
"11432000","15","1"
"11432000","24B","1"
"11432000","36","3"
"11432500","12A","1"
"11432500","12B","1"
"11432500","13A","1"
"11432500","13B","1"
"11432500","13G","1"
"11432500","15","1"
"11432500","24B","1"
"11432500","36","3"
"11433000","12A","1"
"11433000","12B","1"
"11433000","13A","1"
"11433000","13B","1"
"11433000","13G","1"
"11433000","15","1"
"11433000","24B","1"
"11433000","36","3"
"11433500","12A","1"
"11433500","12B","1"
"11433500","13A","1"
"11433500","13B","1"
"11433500","13G","1"
"11433500","24B","1"
"11433500","36","3"
"11445000","12A","1"
"11445000","12B","1"
"11445000","13A","1"
"11445000","13B","1"
"11445000","13G","1"
"11445000","15","1"
"11445000","24B","1"
"11445000","36","3"
"11446000","12A","1"
"11446000","12B","1"
"11446000","13A","1"
"11446000","13B","1"
"11446000","13G","1"
"11446000","15","1"
"11446000","24B","1"
"11446000","36","3"
"11459990","1A","1"
"11459990","36","3"
"11459990","O","2"
"11460000","10B","1"
"11460000","12A","1"
"11460000","12B","1"
"11460000","13A","1"
"11460000","13B","1"
"11460000","13G","1"
"11460000","19B","1"
"11460000","1A","1"
"11460000","24B","1"
"11460000","36","3"
"11460000","O","5"
"11460100","1A","1"
"11460100","36","3"
"11460100","O","2"
"11460150","1A","1"
"11460150","36","3"
"11460150","O","2"
"11460160","1A","1"
"11460160","36","3"
"11460160","O","2"
"11460170","1A","1"
"11460170","36","3"
"11460170","O","1"
"11460190","15","1"
"11460190","1A","1"
