Cycle,Case,Time
Description Cycle,Case-01,26.092
EKG Cycle,Case-01,25.554999999999996
Description Cycle,Case-02,58.039
EKG Cycle,Case-02,55.403999999999996
Description Cycle,Case-03,75.189
EKG Cycle,Case-03,17.30200000000002
Description Cycle,Case-07,45.821000000000026
EKG Cycle,Case-07,25.19999999999999
Description Cycle,Case-08,56.79000000000002
EKG Cycle,Case-08,50.863
Description Cycle,Case-09,31.343999999999937
EKG Cycle,Case-09,24.508000000000038
Description Cycle,Case-12,
EKG Cycle,Case-12,
Description Cycle,Case-13,
EKG Cycle,Case-13,
Description Cycle,Case-15,49.28099999999995
EKG Cycle,Case-15,21.07000000000005
Description Cycle,Case-16,126.77700000000004
EKG Cycle,Case-16,23.95699999999988
Description Cycle,Case-17,40.452
EKG Cycle,Case-17,58.777000000000044
Description Cycle,Case-19,28.45999999999981
EKG Cycle,Case-19,26.325000000000045
