Cycle,Case,Time
EKG Cycle,Case-01,137.65900000000002
Description Cycle,Case-01,45.248999999999995
EKG Cycle,Case-02,108.65299999999996
Description Cycle,Case-02,52.56700000000001
EKG Cycle,Case-03,79.892
Description Cycle,Case-03,108.892
EKG Cycle,Case-07,32.78600000000006
Description Cycle,Case-07,33.194999999999936
EKG Cycle,Case-08,61.79200000000003
Description Cycle,Case-08,31.463999999999942
EKG Cycle,Case-09,70.69500000000005
Description Cycle,Case-09,117.61399999999992
EKG Cycle,Case-12,66.19299999999998
Description Cycle,Case-12,48.58699999999999
EKG Cycle,Case-13,70.85300000000007
Description Cycle,Case-13,27.658999999999878
EKG Cycle,Case-15,33.92099999999982
Description Cycle,Case-15,36.70400000000018
EKG Cycle,Case-16,53.710000000000036
Description Cycle,Case-16,22.991999999999962
EKG Cycle,Case-17,20.210000000000036
Description Cycle,Case-17,19.763999999999896
EKG Cycle,Case-19,78.12699999999995
Description Cycle,Case-19,26.10200000000009
