"User","Case","Stage","Answer","Points","Confidence","Time"
111,"Case-01","EKG Hypothesis","doorgemaakte ischemie ipl gebied",0.5,80,186.84
111,"Case-01","Description Hypothesis","ischemie",1.0,70,49.76
111,"Case-02","EKG Hypothesis","pericarditis",1.0,69,26.00
111,"Case-02","Description Hypothesis","gastrointestinale klachten",1.0,70,48.45
111,"Case-03","EKG Hypothesis","infarct",0.0,37,57.45
111,"Case-03","Description Hypothesis","hyperventilatie",1.0,30,83.19
111,"Case-07","EKG Hypothesis","pericarditis",1.0,45,50.67
111,"Case-07","Description Hypothesis","pericarditis",1.0,76,45.67
111,"Case-08","EKG Hypothesis","strain",0.0,50,37.86
111,"Case-08","Description Hypothesis","acs",1.0,59,31.18
111,"Case-09","EKG Hypothesis","longembolie",0.5,40,90.90
111,"Case-09","Description Hypothesis","ischemie",1.0,50,70.63
111,"Case-12","EKG Hypothesis","normaal",1.0,70,42.75
111,"Case-12","Description Hypothesis","viraal infect",0.5,70,136.08
111,"Case-13","EKG Hypothesis","ischemie",1.0,80,17.06
111,"Case-13","Description Hypothesis","ischemie",1.0,85,25.29
111,"Case-15","EKG Hypothesis","normaal",0.0,90,30.22
111,"Case-15","Description Hypothesis","acs",1.0,97,32.85
111,"Case-16","EKG Hypothesis","eerstegraads av blok",0.5,70,42.72
111,"Case-16","Description Hypothesis","ischemie",1.0,81,26.90
111,"Case-17","EKG Hypothesis","acs",0.5,90,24.92
111,"Case-17","Description Hypothesis","raktakotsubo",0.5,56,119.13
111,"Case-19","EKG Hypothesis","longprobleem",0.0,80,12.09
111,"Case-19","Description Hypothesis","infectie",0.0,49,59.03
