product,price,shipping,days,rank
Product 01,0.7,4,7,1
Product 01,4.1,1.2,7,2
Product 01,8.6,0.2,8,3
Product 01,5.4,3,7,4
Product 01,13.1,0,5,5
Product 01,7.3,2.8,4,6
Product 01,8.4,2.7,8,7
Product 01,7.8,3.9,3,8
Product 01,8.7,4.9,0,9
Product 01,11.7,3.7,3,10
Product 02,13.2,1.6,4,1
Product 02,17.2,0.4,6,2
Product 02,19.4,1.6,7,3
Product 02,18.7,1.2,7,4
Product 02,18.8,2.2,4,5
Product 02,19.6,2,7,6
Product 02,17.9,3.8,7,7
Product 02,16.9,4.4,0,8
Product 02,23.8,3.5,2,9
Product 02,17.2,4.6,2,10
Product 03,27.5,0.2,5,1
Product 03,25,1.1,4,2
Product 03,28.6,0.2,4,3
Product 03,38.2,0.4,6,4
Product 03,25.1,2.6,3,5
Product 03,26.8,3.3,5,6
Product 03,25.6,3.9,6,7
Product 03,31.5,2.5,7,8
Product 03,36.9,3.9,0,9
Product 03,38,4,6,10
Product 04,53.5,0.2,3,1
Product 04,50,1.2,3,2
Product 04,56.2,0.6,2,3
Product 04,43,2.6,3,4
Product 04,43.1,2.7,1,5
Product 04,44.7,2.6,3,6
Product 04,44.5,3.9,0,7
Product 04,39.5,4.1,4,8
Product 04,48.3,4.7,4,9
Product 04,57.5,3.3,3,10
Product 05,66.1,0.6,9,1
Product 05,69,0.9,11,2
Product 05,59.6,1.2,7,3
Product 05,62.3,1.3,9,4
Product 05,66.9,1.2,7,5
Product 05,70.6,1.6,7,6
Product 05,73.4,1.7,10,7
Product 05,69.2,2.1,9,8
Product 05,67.8,3.7,0,9
Product 05,68.4,4.5,7,10
Product 06,80.2,0,4,1
Product 06,76.4,0.1,4,2
Product 06,75.5,1.1,4,3
Product 06,75.3,2,2,4
Product 06,76.4,2.7,3,5
Product 06,76.3,2.8,3,6
Product 06,75.1,3.5,0,7
Product 06,85.7,3.6,0,8
Product 06,78.2,4.7,2,9
Product 06,74.7,4.9,0,10
Product 07,90.4,0,5,1
Product 07,95.7,0.1,6,2
Product 07,97.2,0.2,4,3
Product 07,94.2,0.5,6,4
Product 07,97.5,0.8,6,5
Product 07,87.2,1.2,4,6
Product 07,89.7,1,3,7
Product 07,96.2,1.5,3,8
Product 07,88.3,2.6,0,9
Product 07,93.9,4.4,2,10
Product 08,104.6,0.6,3,1
Product 08,100.4,1,6,2
Product 08,116,0.8,4,3
Product 08,107.4,1.4,5,4
Product 08,112.9,1.7,2,5
Product 08,117.2,1.5,5,6
Product 08,109.8,1.4,3,7
Product 08,102.7,3,5,8
Product 08,110.7,4.1,0,9
Product 08,109.8,4.8,1,10
Product 09,129.4,0.6,5,1
Product 09,134.3,0.5,7,2
Product 09,121,0.8,3,3
Product 09,131.7,1.8,5,4
Product 09,120.2,2,7,5
Product 09,120.5,2.9,7,6
Product 09,123.1,3.5,7,7
Product 09,125.7,3.7,0,8
Product 09,135.2,4.2,3,9
Product 09,131.1,4.3,5,10
Product 10,139.5,0.2,3,1
Product 10,140.3,0.2,5,2
Product 10,139.2,1.4,3,3
Product 10,136.2,1.9,4,4
Product 10,139.3,1.5,5,5
Product 10,147.3,2.4,4,6
Product 10,142.9,2.9,5,7
Product 10,141.3,2.7,1,8
Product 10,149.7,3.6,5,9
Product 10,137.9,4.6,0,10
Product 11,149.8,0.1,4,1
Product 11,156.6,0.3,5,2
Product 11,168.4,0.7,5,3
Product 11,170.2,0.8,2,4
Product 11,165.6,1,4,5
Product 11,164.5,2.1,1,6
Product 11,163.3,3.2,1,7
Product 11,163.5,3.7,5,8
Product 11,151.5,4.1,0,9
Product 11,166.8,4.2,6,10
Product 12,177,0.9,5,1
