code,name
a54115,OXYGEN
a56545,NITRAZEPAM
a59812,DOMPERIDONE
a71066,DEFLAZACORT
c00001,ANTI-INFECTIVES - UNSPECIFIED
c00019,ANTIHYPERLIPIDEMIC AGENTS - UNSPECIFIED
c00040,CARDIOVASCULAR AGENTS - UNSPECIFIED
c00049,DIURETICS - UNSPECIFIED
c00088,ANTACIDS - UNSPECIFIED
c00097,HORMONES/HORMONE MODIFIERS - UNSPECIFIED
c00101,SEX HORMONES - UNSPECIFIED
c00102,CONTRACEPTIVES - UNSPECIFIED
c00122,RESPIRATORY AGENTS - UNSPECIFIED
c00136,DERMATOLOGICAL AGENTS - UNSPECIFIED
c00146,MOUTH AND THROAT PRODUCTS - UNSPECIFIED
c00163,OPHTHALMIC ANTI-INFECTIVES - UNSPECIFIED
c00183,ESTROGENS - UNSPECIFIED
d00001,ACYCLOVIR
d00002,AMIODARONE
d00003,AMPICILLIN
d00004,ATENOLOL
d00006,CAPTOPRIL
d00011,CIPROFLOXACIN
d00012,CODEINE
d00013,ENALAPRIL
d00015,IBUPROFEN
d00016,LABETALOL
d00018,NADOLOL
d00019,NAPROXEN
d00020,QUINIDINE
d00021,RANITIDINE
d00022,WARFARIN
d00023,ALLOPURINOL
d00024,AZATHIOPRINE
d00027,HALOPERIDOL
d00031,PROBENECID
d00032,PROPRANOLOL
d00033,SULINDAC
d00035,CHLOROQUINE
d00036,CYCLOPHOSPHAMIDE
d00037,DOXYCYCLINE
d00039,INDOMETHACIN
d00041,TETRACYCLINE
d00042,CHLORPROPAMIDE
d00043,CLINDAMYCIN
d00044,CLONIDINE
d00045,DILTIAZEM
d00046,ERYTHROMYCIN
d00047,RIFAMPIN
d00048,VERAPAMIL
d00050,METHADONE
d00051,NIFEDIPINE
d00052,CEFTRIAXONE
d00056,CEFUROXIME
d00058,CARBAMAZEPINE
d00060,METHOTREXATE
d00061,LITHIUM
d00064,CHLORPROMAZINE
d00068,ETHAMBUTOL
d00070,FUROSEMIDE
d00071,FLUCONAZOLE
d00073,CEFPROZIL
d00079,CYCLOSPORINE
d00083,VALPROIC ACID
d00084,PREDNISOLONE
d00085,RIBAVIRIN
d00086,AMANTADINE
d00088,AMOXICILLIN
d00089,AMOXICILLIN; CLAVULANATE
d00091,AZITHROMYCIN
d00096,CEPHALEXIN
d00097,CLARITHROMYCIN
d00098,DAPSONE
d00100,GRISEOFULVIN
d00101,ISONIAZID
d00108,METRONIDAZOLE
d00110,MINOCYCLINE
d00112,NITROFURANTOIN
d00116,PENICILLIN
d00119,SULFAMETHOXAZOLE
d00123,TRIMETHOPRIM
d00124,SULFAMETHOXAZOLE; TRIMETHOPRIM
d00132,HYDRALAZINE
d00133,METHYLDOPA
d00134,METOPROLOL
d00135,MINOXIDIL
d00138,PRAZOSIN
d00139,TIMOLOL
d00140,CIMETIDINE
d00141,FAMOTIDINE
d00142,THEOPHYLLINE
d00143,PHENYTOIN
d00144,NORTRIPTYLINE
d00145,DESIPRAMINE
d00146,AMITRIPTYLINE
d00148,DIAZEPAM
d00149,LORAZEPAM
d00150,COLCHICINE
d00161,ACETAZOLAMIDE
d00168,ALPRAZOLAM
d00170,ASPIRIN
d00175,BENZTROPINE
d00176,BETAXOLOL
d00178,BROMOCRIPTINE
d00179,BUMETANIDE
d00181,BUPROPION
d00182,BUSPIRONE
d00184,CARBIDOPA
d00185,CARBOPLATIN
d00189,CHLORDIAZEPOXIDE
d00192,CHLORTHALIDONE
d00193,CHOLESTYRAMINE
d00197,CLONAZEPAM
d00199,CLOZAPINE
d00206,DEXAMETHASONE
d00210,DIGOXIN
d00212,DIPHENHYDRAMINE
d00217,DOXEPIN
d00231,FELODIPINE
d00233,FENTANYL
d00234,FLECAINIDE
d00236,FLUOXETINE
d00237,FLUPHENAZINE
d00238,FLURAZEPAM
d00242,FOSINOPRIL
d00245,GEMFIBROZIL
d00246,GLIPIZIDE
d00248,GLYBURIDE
d00252,HEPARIN
d00253,HYDROCHLOROTHIAZIDE
d00254,HYDROCORTISONE
d00255,HYDROMORPHONE
d00259,IMIPRAMINE
d00260,INDAPAMIDE
d00262,INSULIN
d00265,IPRATROPIUM
d00268,ISOSORBIDE DINITRATE
d00269,ISOSORBIDE MONONITRATE
d00273,KETOROLAC
d00278,LEVOTHYROXINE
d00280,LOVASTATIN
d00284,MEDROXYPROGESTERONE
d00285,MEFENAMIC ACID
d00288,MEPROBAMATE
d00289,MERCAPTOPURINE
d00290,METHIMAZOLE
d00293,METHYLPREDNISOLONE
d00298,METOCLOPRAMIDE
d00299,METOLAZONE
d00300,MEXILETINE
d00308,MORPHINE
d00310,NABUMETONE
d00314,NIACIN
d00316,NICOTINE
d00321,NITROGLYCERIN
d00322,NIZATIDINE
d00325,OMEPRAZOLE
d00328,OXYBUTYNIN
d00329,OXYCODONE
d00336,PENTOXIFYLLINE
d00337,PHENAZOPYRIDINE
d00340,PHENOBARBITAL
d00343,PIROXICAM
d00344,POLYMYXIN B SULFATE
d00345,POTASSIUM CHLORIDE
d00348,PRAVASTATIN
d00350,PREDNISONE
d00352,PRIMIDONE
d00355,PROCHLORPERAZINE
d00358,PROPAFENONE
d00361,PROPYLTHIOURACIL
d00363,PYRIDOSTIGMINE
d00365,QUINAPRIL
d00366,QUININE
d00371,SOTALOL
d00373,SPIRONOLACTONE
d00377,SUCRALFATE
d00379,SULFASALAZINE
d00381,TAMOXIFEN
d00384,TEMAZEPAM
d00386,TERAZOSIN
d00395,TRAZODONE
d00396,TRIAMTERENE
d00397,TRIAZOLAM
d00413,CYANOCOBALAMIN
d00438,SODIUM CHLORIDE
d00497,OMEGA-3 POLYUNSATURATED FATTY ACIDS
d00529,TRANEXAMIC ACID
d00534,ESTRONE
d00537,ESTRADIOL
d00541,CONJUGATED ESTROGENS
d00550,PROGESTERONE
d00555,NORETHINDRONE
d00558,TESTOSTERONE
d00563,FINASTERIDE
d00569,CLOMIPHENE
d00571,MENOTROPINS
d00577,SOMATROPIN
d00583,DESMOPRESSIN
d00598,CALCITONIN
d00604,CORTICOTROPIN
d00608,FLUDROCORTISONE
d00620,TRIAMCINOLONE
d00640,METHAZOLAMIDE
d00643,METHYCLOTHIAZIDE
d00649,ETHACRYNIC ACID
d00651,UREA TOPICAL
d00653,ISOSORBIDE
d00655,THYROID DESICCATED
d00658,LIOTHYRONINE
d00683,LIDOCAINE TOPICAL
d00689,AMLODIPINE
d00699,EPINEPHRINE
d00709,BISOPROLOL
d00717,GUANFACINE
d00726,DOXAZOSIN
d00728,RAMIPRIL
d00730,BENAZEPRIL
d00732,LISINOPRIL
d00744,COLESTIPOL
d00746,SIMVASTATIN
d00749,ALBUTEROL
d00760,BECLOMETHASONE
d00769,PSEUDOEPHEDRINE
d00786,TRIPROLIDINE
d00787,PROMETHAZINE
d00790,CYPROHEPTADINE
d00796,BENZONATATE
d00797,GUAIFENESIN
d00803,AMPHETAMINE
d00804,DEXTROAMPHETAMINE
d00806,PHENTERMINE
d00817,HYDROXYCHLOROQUINE
d00833,OXYMORPHONE
d00840,BUPRENORPHINE
d00848,DICLOFENAC
d00851,ETODOLAC
d00853,OXAPROZIN
d00855,PERPHENAZINE
d00859,MECLIZINE
d00866,DRONABINOL
d00867,ONDANSETRON
d00876,CLOMIPRAMINE
d00880,SERTRALINE
d00897,LOXAPINE
d00900,METHYLPHENIDATE
d00907,HYDROXYZINE
d00910,ZOLPIDEM
d00960,CARISOPRODOL
d00962,CHLORZOXAZONE
d00963,CYCLOBENZAPRINE
d00964,METAXALONE
d00965,METHOCARBAMOL
d00966,ORPHENADRINE
d00967,BACLOFEN
d00970,TRIHEXYPHENIDYL
d00985,HYOSCYAMINE
d00992,GLYCOPYRROLATE
d00999,DICYCLOMINE
d01002,PANCRELIPASE
d01005,URSODIOL
d01013,SENNA
d01015,BISACODYL
d01021,DOCUSATE
d01024,LACTULOSE
d01025,LOPERAMIDE
d01031,MESALAMINE
d01187,LEVOBUNOLOL OPHTHALMIC
d01231,CHLORHEXIDINE TOPICAL
d01233,NYSTATIN
d01241,CLINDAMYCIN TOPICAL
d01244,TRETINOIN TOPICAL
d01245,ISOTRETINOIN
d01246,BENZOYL PEROXIDE TOPICAL
d01259,SILVER SULFADIAZINE TOPICAL
d01267,MUPIROCIN TOPICAL
d01271,ECONAZOLE TOPICAL
d01272,CICLOPIROX TOPICAL
d01279,PERMETHRIN TOPICAL
d01280,CROTAMITON TOPICAL
d01288,CLOBETASOL TOPICAL
d01290,DESONIDE TOPICAL
d01291,DESOXIMETASONE TOPICAL
d01293,FLUOCINOLONE TOPICAL
d01294,FLUOCINONIDE TOPICAL
d01296,FLUTICASONE
d01297,HALCINONIDE TOPICAL
d01300,MOMETASONE TOPICAL
d01315,COLLAGENASE TOPICAL
d01319,HYDROQUINONE TOPICAL
d01321,CAPSAICIN TOPICAL
d01348,MEGESTROL
d01353,LEUPROLIDE
d01406,NALTREXONE
d01423,POTASSIUM CITRATE
d01427,BETHANECHOL
d03041,ENOXAPARIN
d03050,LORATADINE
d03052,HYDROCHLOROTHIAZIDE; TRIAMTERENE
d03061,BUTALBITAL
d03075,HYDROCODONE
d03085,PEPSIN
d03140,MULTIVITAMIN
d03157,PAROXETINE
d03160,SUMATRIPTAN
d03173,DORNASE ALFA
d03180,RISPERIDONE
d03181,VENLAFAXINE
d03182,GABAPENTIN
d03189,TORSEMIDE
d03193,AMILORIDE; HYDROCHLOROTHIAZIDE
d03195,MICONAZOLE TOPICAL
d03197,BETAMETHASONE TOPICAL
d03202,KETOCONAZOLE TOPICAL
d03205,HYDROCORTISONE TOPICAL
d03206,TRIAMCINOLONE TOPICAL
d03208,METRONIDAZOLE TOPICAL
d03210,SELENIUM SULFIDE TOPICAL
d03211,CIPROFLOXACIN OPHTHALMIC
d03213,DICLOFENAC OPHTHALMIC
d03214,KETOROLAC OPHTHALMIC
d03221,PREDNISOLONE OPHTHALMIC
d03222,TOBRAMYCIN OPHTHALMIC
d03227,FLUOROMETHOLONE OPHTHALMIC
d03238,ETHINYL ESTRADIOL; NORETHINDRONE
d03241,ETHINYL ESTRADIOL; NORGESTREL
d03242,ETHINYL ESTRADIOL; LEVONORGESTREL
d03245,ESTERIFIED ESTROGENS; METHYLTESTOSTERONE
d03247,HYDROCHLOROTHIAZIDE; SPIRONOLACTONE
d03258,ATENOLOL; CHLORTHALIDONE
d03265,BENAZEPRIL; HYDROCHLOROTHIAZIDE
d03266,HYDROCHLOROTHIAZIDE; LISINOPRIL
d03289,ACETAMINOPHEN; PSEUDOEPHEDRINE
d03301,BROMPHENIRAMINE; PSEUDOEPHEDRINE
d03312,DIPHENHYDRAMINE; PSEUDOEPHEDRINE
d03316,PSEUDOEPHEDRINE; TRIPROLIDINE
d03340,HOMATROPINE; HYDROCODONE
d03354,DEXTROMETHORPHAN; PSEUDOEPHEDRINE
d03356,CHLORPHENIRAMINE; HYDROCODONE
d03360,DEXTROMETHORPHAN; PROMETHAZINE
d03364,CODEINE; PHENYLEPHRINE; PROMETHAZINE
d03368,BROMPHENIRAMINE; DEXTROMETHORPHAN; PSEUDOEPHEDRINE
d03370,CHLORPHENIRAMINE; DEXTROMETHORPHAN; PSEUDOEPHEDRINE
d03381,GUAIFENESIN; PHENYLEPHRINE
d03388,ETHINYL ESTRADIOL; ETHYNODIOL
d03393,CODEINE; GUAIFENESIN
d03396,GUAIFENESIN; HYDROCODONE
d03408,DEXTROMETHORPHAN; GUAIFENESIN; PHENYLEPHRINE
d03423,ACETAMINOPHEN; CODEINE
d03425,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE
d03428,ACETAMINOPHEN; HYDROCODONE
d03431,ACETAMINOPHEN; OXYCODONE
d03455,ACETAMINOPHEN; BUTALBITAL; CAFFEINE
d03456,ACETAMINOPHEN; BUTALBITAL
d03457,ASPIRIN; BUTALBITAL; CAFFEINE
d03473,CARBIDOPA; LEVODOPA
d03485,ATROPINE; HYOSCYAMINE; PHENOBARBITAL; SCOPOLAMINE
