"variable","acronym","name","unit","file","ranges"
"LBXIRN","Iron","Iron","ug/dL","EPH_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/fetib_d_met_iron.pdf"
"LBXTIB","TIBC","Total Iron Binding Capacity","ug/dL","EPH_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/fetib_d_met_tibc.pdf"
"LBXSLDSI","LDH","Lactate Dehydrogenase","U/L","BIOPRO_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/biopro_d_met_ldh.pdf"
"LBXWBCSI","WBC","White Blood Cell Count","1000 cells/uL","CBC_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/cbc_d_met.pdf"
"LBXRBCSI","RBC","Red Blodd Cell Count","million cells/uL","CBC_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/cbc_d_met.pdf"
"LBXHGB","Hgb","Hemoglobin","g/dL","CBC_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/cbc_d_met.pdf"
"LBXHCT","HCT","Hematocrit","%","CBC_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/cbc_d_met.pdf"
"LBXMCVSI","MCV","Mean Cell Volume","fL","CBC_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/cbc_d_met.pdf"
"LBXMCHSI","MCH","Mean Cell Hemoglobin","pg","CBC_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/cbc_d_met.pdf"
"LBXMC","MCHC","Mean Cell Hemoglobin Concentration","g/dL","CBC_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/cbc_d_met.pdf"
"LBXRDW","RDW","Red cell distribution width","%","CBC_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/cbc_d_met.pdf"
"LBXPLTSI","Plt","Platelet count SI","1000 cells/uL","CBC_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/cbc_d_met.pdf"
"LBXMPSI","MPV","Mean Platelet Volume","fL","CBC_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/cbc_d_met.pdf"
"LBXLYPCT","LY","Lymphocyte Percent","%","CBC_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/cbc_d_met.pdf"
"LBXMOPCT","MO","Monocyte Percent","%","CBC_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/cbc_d_met.pdf"
"LBXNEPCT","NE","Segmented Neutrophils Percent","%","CBC_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/cbc_d_met.pdf"
"LBXEOPCT","EO","Eosinophils Percent","%","CBC_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/cbc_d_met.pdf"
"LBXBAPCT","BA","Basophils Percent","%","CBC_D","https://wwwn.cdc.gov/nchs/data/nhanes/2005-2006/labmethods/cbc_d_met.pdf"
