"variable","gender","ageStart","ageEnd","min","max"
"LBXIRN",1,0,200,50,160
"LBXIRN",2,0,200,40,150
"LBXTIB",1,0,200,250,450
"LBXTIB",2,0,200,250,450
"LBXSLDSI",1,0,5,140,304
"LBXSLDSI",1,6,10,142,290
"LBXSLDSI",1,11,15,115,257
"LBXSLDSI",1,16,200,93,198
"LBXSLDSI",2,0,5,140,304
"LBXSLDSI",2,6,10,142,290
"LBXSLDSI",2,11,15,115,257
"LBXSLDSI",2,16,200,93,198
"LBXWBCSI",1,1,5,4.3,14.1
"LBXRBCSI",1,1,5,4,5.3
"LBXHGB",1,1,5,10.5,13.7
"LBXHCT",1,1,5,31.8,40.8
"LBXMCVSI",1,1,5,67.6,88.2
"LBXMCHSI",1,1,5,21.7,29.8
"LBXMC",1,1,5,31.5,35
"LBXRDW",1,1,5,11.7,16.5
"LBXPLTSI",1,1,5,224,568
"LBXMPSI",1,1,5,6.3,9.3
"LBXLYPCT",1,1,5,24.5,70
"LBXMOPCT",1,1,5,0,12
"LBXNEPCT",1,1,5,21.4,70.5
"LBXEOPCT",1,1,5,0,10
"LBXBAPCT",1,1,5,0,2
"LBXWBCSI",2,1,5,4.2,13.6
"LBXRBCSI",2,1,5,3.9,5.2
"LBXHGB",2,1,5,10.5,13.7
"LBXHCT",2,1,5,32,40.6
"LBXMCVSI",2,1,5,69,88.6
"LBXMCHSI",2,1,5,22.3,30.1
"LBXMC",2,1,5,31.8,35.1
"LBXRDW",2,1,5,11.4,15.4
"LBXPLTSI",2,1,5,229,581
"LBXMPSI",2,1,5,6.3,9.2
"LBXLYPCT",2,1,5,24.9,70.5
"LBXMOPCT",2,1,5,0,12
"LBXNEPCT",2,1,5,21.3,69.3
"LBXEOPCT",2,1,5,0,10
"LBXBAPCT",2,1,5,0,2
"LBXWBCSI",1,6,18,3.7,11.9
"LBXRBCSI",1,6,18,4.1,5.6
"LBXHGB",1,6,18,11.5,16.3
"LBXHCT",1,6,18,34.4,48.3
"LBXMCVSI",1,6,18,74.3,93
"LBXMCHSI",1,6,18,24.3,31.7
"LBXMC",1,6,18,31.9,35.1
"LBXRDW",1,6,18,11.7,14.3
"LBXPLTSI",1,6,18,194,477
"LBXMPSI",1,6,18,6.6,9.9
"LBXLYPCT",1,6,18,20,56.6
"LBXMOPCT",1,6,18,0,12
"LBXNEPCT",1,6,18,33.2,74.7
"LBXEOPCT",1,6,18,0,11
"LBXBAPCT",1,6,18,0,2
"LBXWBCSI",2,6,18,4,12.4
"LBXRBCSI",2,6,18,3.9,5.2
"LBXHGB",2,6,18,11.1,14.7
"LBXHCT",2,6,18,33.4,43.4
"LBXMCVSI",2,6,18,74.5,93.9
"LBXMCHSI",2,6,18,24.2,31.8
"LBXMC",2,6,18,31.7,35
"LBXRDW",2,6,18,11.6,14.8
"LBXPLTSI",2,6,18,202,476
"LBXMPSI",2,6,18,6.7,10
"LBXLYPCT",2,6,18,18.7,58.5
"LBXMOPCT",2,6,18,0,12
"LBXNEPCT",2,6,18,32.9,77.2
"LBXEOPCT",2,6,18,0,11
"LBXBAPCT",2,6,18,0,2
"LBXWBCSI",1,19,65,3.9,12.1
"LBXRBCSI",1,19,65,4.1,5.8
"LBXHGB",1,19,65,12.7,17.1
"LBXHCT",1,19,65,38,50.3
"LBXMCVSI",1,19,65,78.1,99.2
"LBXMCHSI",1,19,65,25.7,33.8
"LBXMC",1,19,65,32,35.3
"LBXRDW",1,19,65,11.8,15.3
"LBXPLTSI",1,19,65,157,414
"LBXMPSI",1,19,65,6.8,10.4
"LBXLYPCT",1,19,65,17.8,51.8
"LBXMOPCT",1,19,65,0,12
"LBXNEPCT",1,19,65,39.7,77.3
"LBXEOPCT",1,19,65,0,8
"LBXBAPCT",1,19,65,0,2
"LBXWBCSI",2,19,65,3.9,12.5
"LBXRBCSI",2,19,65,3.7,5.2
"LBXHGB",2,19,65,10.4,15.2
"LBXHCT",2,19,65,32,45
"LBXMCVSI",2,19,65,73.4,98.3
"LBXMCHSI",2,19,65,23.2,33.3
"LBXMC",2,19,65,31.4,35.1
"LBXRDW",2,19,65,11.8,16.6
"LBXPLTSI",2,19,65,172,453
"LBXMPSI",2,19,65,6.9,10.7
"LBXLYPCT",2,19,65,17.8,52.8
"LBXMOPCT",2,19,65,0,12
"LBXNEPCT",2,19,65,39.6,77.8
"LBXEOPCT",2,19,65,0,8
"LBXBAPCT",2,19,65,0,2
"LBXWBCSI",1,66,200,3.9,12.3
"LBXRBCSI",1,66,200,4,5.6
"LBXHGB",1,66,200,11,16.8
"LBXHCT",1,66,200,33.1,50.2
"LBXMCVSI",1,66,200,78.9,101.4
"LBXMCHSI",1,66,200,25.6,34.4
"LBXMC",1,66,200,31.8,35.1
"LBXRDW",1,66,200,12.1,16.6
"LBXPLTSI",1,66,200,138,407
"LBXMPSI",1,66,200,6.7,10.6
