Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,18805101.59,1587542.19,340500.00,1372,0,4642,0,1131,0,62,0,6,0.5889102068435836,720
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,33840916.14,2240153.35,3712750.00,8327,0,18465,0,10859,0,1615,0,127,0.720817547189212,15432
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,95664845.44,5903191.87,5757750.00,10016,0,5064,0,25155,0,2427,0,320,0.7833170921960105,23796
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,2333504.79,54575998.64,129407400.00,11731,2489,0,13007,0,23094,0,8371,981,0.8368484245644037,76872
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,46190957.68,21330564.24,136665000.00,14894,0,13898,0,26364,0,8175,0,988,0.8694176658245284,75948
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,1047561.97,51554959.60,141688700.00,11951,2383,0,13004,0,22284,0,8437,990,0.8386514555775397,75396
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,587267.92,47922905.79,143810000.00,11400,2530,0,13373,0,19444,0,8119,985,0.8484091282493569,72672
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,1240455.49,50611654.12,148843800.00,11033,2401,0,13014,0,20280,0,7838,969,0.8434917539768173,71736
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,805982.90,47143929.42,158952200.00,6290,7451,0,12906,0,20074,0,8136,986,0.8336427080599403,73260
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,255455662.96,0.00,0,24396,0,12605,0,45323,0,4810,28,3.2669694817753303,9120
