source,target,weight
1,2,4
1,3,5
1,4,3
1,5,3
1,6,3
1,7,3
1,8,2
1,9,2
1,11,2
1,12,3
1,13,1
1,14,3
1,18,2
1,20,2
1,22,2
1,32,2
2,1,4
2,3,6
2,4,3
2,8,4
2,14,5
2,18,1
2,20,2
2,22,2
2,31,2
3,1,5
3,2,6
3,4,3
3,8,4
3,9,5
3,10,1
3,14,3
3,28,2
3,29,2
3,33,2
4,1,3
4,2,3
4,3,3
4,8,3
4,13,3
4,14,3
5,1,3
5,7,2
5,11,3
6,1,3
6,7,5
6,11,3
6,17,3
7,1,3
7,5,2
7,6,5
7,17,3
8,1,2
8,2,4
8,3,4
8,4,3
9,1,2
9,3,5
9,31,3
9,33,3
9,34,4
10,3,1
10,34,2
11,1,2
11,5,3
11,6,3
12,1,3
13,1,1
13,4,3
14,1,3
14,2,5
14,3,3
14,4,3
14,34,3
15,33,3
15,34,2
16,33,3
16,34,4
17,6,3
17,7,3
18,1,2
18,2,1
19,33,1
19,34,2
20,1,2
20,2,2
20,34,1
21,33,3
21,34,1
22,1,2
22,2,2
23,33,2
23,34,3
24,26,5
24,28,4
24,30,3
24,33,5
24,34,4
25,26,2
25,28,3
25,32,2
26,24,5
26,25,2
26,32,7
27,30,4
27,34,2
28,3,2
28,24,4
28,25,3
28,34,4
29,3,2
29,32,2
29,34,2
30,24,3
30,27,4
30,33,4
30,34,2
31,2,2
31,9,3
31,33,3
31,34,3
32,1,2
32,25,2
32,26,7
32,29,2
32,33,4
32,34,4
33,3,2
33,9,3
33,15,3
33,16,3
33,19,1
33,21,3
33,23,2
33,24,5
33,30,4
33,31,3
33,32,4
33,34,5
34,9,4
34,10,2
34,14,3
34,15,2
34,16,4
34,19,2
34,20,1
34,21,1
34,23,3
34,24,4
34,27,2
34,28,4
34,29,2
34,30,2
34,31,3
34,32,4
34,33,5
