id,hpo
ABNORMALITY OF SKIN TEXTURE,Congenital Abnormality
ABNORMALITY OF THE EPIPHYSES OF THE METATARSALS,Congenital Abnormality
ABNORMALITY OF THE EPIPHYSES OF THE MIDDLE PHALANGES OF THE HAND,Congenital Abnormality
ABNORMALITY OF FIBULAR EPIPHYSES,Congenital Abnormality
ABNORMALITY OF THE MINERALISATION AND OSSIFICATION OF BONES OF THE HAND,Congenital Abnormality
ABNORMALITY OF THE SUBUNGUAL REGION,Congenital Abnormality
ABNORMALITY OF THE PHALANGES OF THE 2ND FINGER,Congenital Abnormality
ABNORMALITY OF THE DISTAL PHALANX OF THE THUMB,Congenital Abnormality
ABNORMALITY OF THE EPIPHYSIS OF THE MIDDLE PHALANX OF THE 3RD FINGER,Congenital Abnormality
ABNORMALITY OF THE EPIPHYSIS OF THE DISTAL PHALANX OF THE 2ND FINGER,Congenital Abnormality
ABNORMALITY OF THE EPIPHYSIS OF THE 4TH TOE,Congenital Abnormality
ABNORMALITY OF THE DISTAL PHALANX OF THE 3RD TOE,Congenital Abnormality
ABNORMALITY OF THE PROXIMAL PHALANX OF THE 3RD TOE,Congenital Abnormality
ABNORMALITY OF THE HYPOTHENAR EMINENCE,Congenital Abnormality
ABNORMALITY OF THE MALE GENITALIA,Congenital Abnormality
ABNORMALITY OF THE PREMAXILLA,Congenital Abnormality
ABNORMALITY OF THE COLUMELLA,Congenital Abnormality
ABNORMALITY OF THE SPINAL DURA MATER,Congenital Abnormality
ABNORMALITY OF THE EPIPHYSIS OF THE DISTAL PHALANX OF THE 5TH FINGER,Congenital Abnormality
ABNORMALITY OF THE EPIPHYSIS OF THE PROXIMAL PHALANX OF THE HALLUX,Congenital Abnormality
ABNORMALITY OF THE EPIPHYSES OF THE TOES,Congenital Abnormality
MINOR MALFORMATION OF THE AURICLES,Congenital Abnormality
ABNORMALITY OF THE RETINAL PIGMENT EPITHELIUM,Congenital Abnormality
ABNORMALITY OF THE LINE OF SCHWALBE,Congenital Abnormality
ABNORMALITY OF THE ATRIOVENTRICULAR VALVES,Congenital Abnormality
'COAT HANGER' DEFORMITY OF LOWER RIBS,Congenital Abnormality
IMMUNOGLOBULIN ABNORMALITY,Congenital Abnormality
ABNORMALITY OF THE EPIPHYSES OF THE 2ND FINGER,Congenital Abnormality
CILIARY DYSGENESIS,Congenital Abnormality
ABNORMALITY INVOLVING THE EPIPHYSES OF THE LIMBS,Congenital Abnormality
ABNORMALITY OF THE CAROTID ARTERIES,Congenital Abnormality
ABNORMALITY OF THE MIDDLE PHALANX OF THE 5TH FINGER,Congenital Abnormality
ABNORMALITY OF THE HUMERAL EPIPHYSEAL PLATE,Congenital Abnormality
ABNORMALITY OF THE ENDOCARDIUM,Congenital Abnormality
ABNORMALITY OF GANGLIOSIDE METABOLISM,Congenital Abnormality
ABNORMALITY OF THE STYLOID PROCESS,Congenital Abnormality
ABNORMALITY OF LYSOSOMAL METABOLISM,Congenital Abnormality
ABNORMALITY OF ALKALINE PHOSPHATASE ACTIVITY,Congenital Abnormality
EPIHYSEAL PLATE ABNORMALITY OF THE UPPER LIMBS,Congenital Abnormality
ABNORMALITY OF THE CERVICAL SPINE,Congenital Abnormality
ABNORMALITY OF THE ACETABULUM,Congenital Abnormality
ABNORMALITY OF THYROID LABORATORY RESULTS,Congenital Abnormality
ABNORMALITY OF THE UPPER LIMBS,Congenital Abnormality
ABNORMALITY OF THE CALVES,Congenital Abnormality
ABNORMALITY OF THE PELVIS,Congenital Abnormality
PRENATAL MATERNAL ABNORMALITY,Congenital Abnormality
CARDIAC MALFORMATION,Congenital Abnormality
ABNORMALITY OF THE VASCULATURE,Congenital Abnormality
ABNORMALITY OF SKULL OSSIFICATION,Congenital Abnormality
ABNORMALITY OF THE CEREBRAL CORTEX,Congenital Abnormality
ABNORMALITY OF THE PYRAMIDAL TRACTS,Congenital Abnormality
ABNORMALITY OF THE CEREBRUM,Congenital Abnormality
GLABELLAR ABNORMALITY,Congenital Abnormality
ABNORMALITY OF THE SMALL INTESTINE,Congenital Abnormality
ABNORMALITY OF THE SPINAL CORD,Congenital Abnormality
TUBULOINTERSTITIAL ABNORMALITY,Congenital Abnormality
ABNORMALITY OF THE PULMONARY VALVE,Congenital Abnormality
ABNORMALITY OF THE UPPER ARM,Congenital Abnormality
PRENATAL MOVEMENT ABNORMALITY,Congenital Abnormality
ABNORMALITY OF THE ATRIAL SEPTUM,Congenital Abnormality
ABNORMALITIES OF PLACENTA AND UMBILICAL CORD,Congenital Abnormality
ABNORMALITY OF THE SWEAT GLANDS,Congenital Abnormality
ABNORMALITY OF THE POSTERIOR CRANIAL FOSSA,Congenital Abnormality
ABNORMALITY OF THE FUNDUS,Congenital Abnormality
ABNORMALITY OF THE MACULA,Congenital Abnormality
ABNORMALITY OF KREBS CYCLE METABOLISM,Congenital Abnormality
NEUROLOGICAL ABNORMALITY,Congenital Abnormality
ABNORMALITY OF VISION EVOKED POTENTIALS,Congenital Abnormality
ABNORMALITY OF THE BREASTS,Congenital Abnormality
MALE BREAST ABNORMALITY,Congenital Abnormality
ABNORMALITY OF THE EYEBROW,Congenital Abnormality
ABNORMALITY OF GLOBE LOCATION OR SIZE,Congenital Abnormality
ABNORMALITY OF THE NASAL BRIDGE,Congenital Abnormality
ANORMALITY OF THE GINGIVA,Congenital Abnormality
AUDITORY CANAL ABNORMALITY,Congenital Abnormality
ABNORMALITY OF THE MANDIBLE,Congenital Abnormality
FRENULAR ABNORMALITY,Congenital Abnormality
ABNORMALITIES OF THE CORTEX OF HAND BONES,Functional Concept
"RIGHT PULMONARY ARTERY, ANOMALOUS ORIGIN OF",Functional Concept
ABNORMALITY OF THE WRIST,Functional Concept
ABNORMALITIES OF THE AORTA,Functional Concept
ABNORMALITIES OF THE COSTOCHONDRAL JUNCTION,Functional Concept
ABNORMALITY OF THE ADRENAL GLANDS,Functional Concept
ANODONTIA,Functional Concept
PROXIMAL RENAL TUBULAR ACIDOSIS,Pathologic Function
LACTIC ACIDOSIS MAY OCCUR WITH STRESS OR INFECTION,Disease or Syndrome
ABNORMALITY OF ACID-BASE METABOLISM,Chemical
ACNE,Disease or Syndrome
