term,tree,l1,l2,l3,l4,l5,l6,l7
Body Regions,A01,A01,,,,,,
Anatomic Landmarks,A01.111,A01,111,,,,,
Breast,A01.236,A01,236,,,,,
"Mammary Glands, Human",A01.236.249,A01,236,249,,,,
Nipples,A01.236.500,A01,236,500,,,,
Extremities,A01.378,A01,378,,,,,
Amputation Stumps,A01.378.100,A01,378,100,,,,
Lower Extremity,A01.378.610,A01,378,610,,,,
Buttocks,A01.378.610.100,A01,378,610,100,,,
Foot,A01.378.610.250,A01,378,610,250,,,
Ankle,A01.378.610.250.149,A01,378,610,250,149,,
"Forefoot, Human",A01.378.610.250.300,A01,378,610,250,300,,
Metatarsus,A01.378.610.250.300.480,A01,378,610,250,300,480,
Toes,A01.378.610.250.300.792,A01,378,610,250,300,792,
Hallux,A01.378.610.250.300.792.380,A01,378,610,250,300,792,380
Heel,A01.378.610.250.510,A01,378,610,250,510,,
Hip,A01.378.610.400,A01,378,610,400,,,
Knee,A01.378.610.450,A01,378,610,450,,,
Leg,A01.378.610.500,A01,378,610,500,,,
Thigh,A01.378.610.750,A01,378,610,750,,,
Upper Extremity,A01.378.800,A01,378,800,,,,
Arm,A01.378.800.075,A01,378,800,75,,,
Axilla,A01.378.800.090,A01,378,800,90,,,
Elbow,A01.378.800.420,A01,378,800,420,,,
Forearm,A01.378.800.585,A01,378,800,585,,,
Hand,A01.378.800.667,A01,378,800,667,,,
Fingers,A01.378.800.667.430,A01,378,800,667,430,,
Thumb,A01.378.800.667.430.705,A01,378,800,667,430,705,
Metacarpus,A01.378.800.667.572,A01,378,800,667,572,,
Wrist,A01.378.800.667.715,A01,378,800,667,715,,
Shoulder,A01.378.800.750,A01,378,800,750,,,
Head,A01.456,A01,456,,,,,
Ear,A01.456.313,A01,456,313,,,,
Face,A01.456.505,A01,456,505,,,,
Cheek,A01.456.505.173,A01,456,505,173,,,
Chin,A01.456.505.259,A01,456,505,259,,,
Eye,A01.456.505.420,A01,456,505,420,,,
Eyebrows,A01.456.505.420.338,A01,456,505,420,338,,
Eyelids,A01.456.505.420.504,A01,456,505,420,504,,
Eyelashes,A01.456.505.420.504.421,A01,456,505,420,504,421,
Forehead,A01.456.505.580,A01,456,505,580,,,
Mouth,A01.456.505.631,A01,456,505,631,,,
Lip,A01.456.505.631.515,A01,456,505,631,515,,
Nasolabial Fold,A01.456.505.682,A01,456,505,682,,,
Nose,A01.456.505.733,A01,456,505,733,,,
Parotid Region,A01.456.505.750,A01,456,505,750,,,
Scalp,A01.456.810,A01,456,810,,,,
Skull Base,A01.456.830,A01,456,830,,,,
"Cranial Fossa, Anterior",A01.456.830.150,A01,456,830,150,,,
"Cranial Fossa, Middle",A01.456.830.165,A01,456,830,165,,,
"Cranial Fossa, Posterior",A01.456.830.200,A01,456,830,200,,,
Neck,A01.598,A01,598,,,,,
Organs at Risk,A01.635,A01,635,,,,,
Perineum,A01.719,A01,719,,,,,
Torso,A01.923,A01,923,,,,,
Abdomen,A01.923.047,A01,923,47,,,,
Abdominal Cavity,A01.923.047.025,A01,923,47,25,,,
Peritoneum,A01.923.047.025.600,A01,923,47,25,600,,
Douglas' Pouch,A01.923.047.025.600.225,A01,923,47,25,600,225,
Mesentery,A01.923.047.025.600.451,A01,923,47,25,600,451,
Mesocolon,A01.923.047.025.600.451.535,A01,923,47,25,600,451,535
Omentum,A01.923.047.025.600.573,A01,923,47,25,600,573,
Peritoneal Cavity,A01.923.047.025.600.678,A01,923,47,25,600,678,
Peritoneal Stomata,A01.923.047.025.600.700,A01,923,47,25,600,700,
Retroperitoneal Space,A01.923.047.025.750,A01,923,47,25,750,,
Abdominal Wall,A01.923.047.050,A01,923,47,50,,,
Groin,A01.923.047.365,A01,923,47,365,,,
Inguinal Canal,A01.923.047.412,A01,923,47,412,,,
Umbilicus,A01.923.047.849,A01,923,47,849,,,
Back,A01.923.176,A01,923,176,,,,
Lumbosacral Region,A01.923.176.519,A01,923,176,519,,,
Sacrococcygeal Region,A01.923.176.780,A01,923,176,780,,,
Pelvis,A01.923.600,A01,923,600,,,,
Lesser Pelvis,A01.923.600.500,A01,923,600,500,,,
Pelvic Floor,A01.923.600.600,A01,923,600,600,,,
Thorax,A01.923.761,A01,923,761,,,,
Thoracic Cavity,A01.923.761.800,A01,923,761,800,,,
Mediastinum,A01.923.761.800.500,A01,923,761,800,500,,
Pleural Cavity,A01.923.761.800.650,A01,923,761,800,650,,
Thoracic Wall,A01.923.761.850,A01,923,761,850,,,
Transplant Donor Site,A01.935,A01,935,,,,,
Transplants,A01.941,A01,941,,,,,
Allografts,A01.941.500,A01,941,500,,,,
Autografts,A01.941.750,A01,941,750,,,,
Bone-Patellar Tendon-Bone Grafts,A01.941.812,A01,941,812,,,,
Composite Tissue Allografts,A01.941.843,A01,941,843,,,,
Heterografts,A01.941.875,A01,941,875,,,,
Isografts,A01.941.937,A01,941,937,,,,
Trigger Points,A01.947,A01,947,,,,,
Viscera,A01.960,A01,960,,,,,
Musculoskeletal System,A02,A02,,,,,,
Cartilage,A02.165,A02,165,,,,,
Elastic Cartilage,A02.165.257,A02,165,257,,,,
Ear Cartilage,A02.165.257.250,A02,165,257,250,,,
Laryngeal Cartilages,A02.165.257.625,A02,165,257,625,,,
Arytenoid Cartilage,A02.165.257.625.083,A02,165,257,625,83,,
Cricoid Cartilage,A02.165.257.625.211,A02,165,257,625,211,,
Epiglottis,A02.165.257.625.411,A02,165,257,625,411,,
Thyroid Cartilage,A02.165.257.625.870,A02,165,257,625,870,,
Fibrocartilage,A02.165.308,A02,165,308,,,,
Intervertebral Disc,A02.165.308.410,A02,165,308,410,,,
"Menisci, Tibial",A02.165.308.500,A02,165,308,500,,,
Triangular Fibrocartilage,A02.165.308.800,A02,165,308,800,,,
Hyaline Cartilage,A02.165.407,A02,165,407,,,,
"Cartilage, Articular",A02.165.407.150,A02,165,407,150,,,
Laryngeal Cartilages,A02.165.407.500,A02,165,407,500,,,
Arytenoid Cartilage,A02.165.407.500.083,A02,165,407,500,83,,
Cricoid Cartilage,A02.165.407.500.211,A02,165,407,500,211,,
Epiglottis,A02.165.407.500.411,A02,165,407,500,411,,
Thyroid Cartilage,A02.165.407.500.870,A02,165,407,500,870,,
Nasal Cartilages,A02.165.407.550,A02,165,407,550,,,
Fascia,A02.340,A02,340,,,,,
Fascia Lata,A02.340.424,A02,340,424,,,,
Tenon Capsule,A02.340.800,A02,340,800,,,,
Ligaments,A02.513,A02,513,,,,,
Broad Ligament,A02.513.170,A02,513,170,,,,
"Ligaments, Articular",A02.513.514,A02,513,514,,,,
Anterior Cruciate Ligament,A02.513.514.100,A02,513,514,100,,,
Collateral Ligaments,A02.513.514.162,A02,513,514,162,,,
"Lateral Ligament, Ankle",A02.513.514.162.500,A02,513,514,162,500,,
"Medial Collateral Ligament, Knee",A02.513.514.162.600,A02,513,514,162,600,,
Ligamentum Flavum,A02.513.514.287,A02,513,514,287,,,
Longitudinal Ligaments,A02.513.514.350,A02,513,514,350,,,
Patellar Ligament,A02.513.514.475,A02,513,514,475,,,
Posterior Cruciate Ligament,A02.513.514.600,A02,513,514,600,,,
Round Ligament,A02.513.803,A02,513,803,,,,
Muscles,A02.633,A02,633,,,,,
"Muscle, Skeletal",A02.633.567,A02,633,567,,,,
Abdominal Muscles,A02.633.567.050,A02,633,567,50,,,
Pelvic Floor,A02.633.567.050.750,A02,633,567,50,750,,
Rectus Abdominis,A02.633.567.050.800,A02,633,567,50,800,,
Back Muscles,A02.633.567.175,A02,633,567,175,,,
Intermediate Back Muscles,A02.633.567.175.500,A02,633,567,175,500,,
Paraspinal Muscles,A02.633.567.175.750,A02,633,567,175,750,,
Superficial Back Muscles,A02.633.567.175.875,A02,633,567,175,875,,
Deltoid Muscle,A02.633.567.300,A02,633,567,300,,,
Facial Muscles,A02.633.567.400,A02,633,567,400,,,
Laryngeal Muscles,A02.633.567.500,A02,633,567,500,,,
Masticatory Muscles,A02.633.567.600,A02,633,567,600,,,
Masseter Muscle,A02.633.567.600.500,A02,633,567,600,500,,
Pterygoid Muscles,A02.633.567.600.700,A02,633,567,600,700,,
Temporal Muscle,A02.633.567.600.850,A02,633,567,600,850,,
Neck Muscles,A02.633.567.650,A02,633,567,650,,,
Oculomotor Muscles,A02.633.567.700,A02,633,567,700,,,
Palatal Muscles,A02.633.567.750,A02,633,567,750,,,
Pectoralis Muscles,A02.633.567.775,A02,633,567,775,,,
Pharyngeal Muscles,A02.633.567.800,A02,633,567,800,,,
"Esophageal Sphincter, Upper",A02.633.567.800.360,A02,633,567,800,360,,
Velopharyngeal Sphincter,A02.633.567.800.680,A02,633,567,800,680,,
Psoas Muscles,A02.633.567.825,A02,633,567,825,,,
Quadriceps Muscle,A02.633.567.850,A02,633,567,850,,,
Respiratory Muscles,A02.633.567.900,A02,633,567,900,,,
Diaphragm,A02.633.567.900.300,A02,633,567,900,300,,
Intercostal Muscles,A02.633.567.900.500,A02,633,567,900,500,,
Rotator Cuff,A02.633.567.912,A02,633,567,912,,,
Stapedius,A02.633.567.950,A02,633,567,950,,,
Tensor Tympani,A02.633.567.975,A02,633,567,975,,,
"Muscle, Smooth",A02.633.570,A02,633,570,,,,
"Esophageal Sphincter, Lower",A02.633.570.210,A02,633,570,210,,,
"Muscle, Smooth, Vascular",A02.633.570.491,A02,633,570,491,,,
Tunica Media,A02.633.570.491.800,A02,633,570,491,800,,
Myometrium,A02.633.570.500,A02,633,570,500,,,
Myocardium,A02.633.580,A02,633,580,,,,
Papillary Muscles,A02.633.580.680,A02,633,580,680,,,
Skeleton,A02.835,A02,835,,,,,
Bone and Bones,A02.835.232,A02,835,232,,,,
Bones of Lower Extremity,A02.835.232.043,A02,835,232,43,,,
Foot Bones,A02.835.232.043.300,A02,835,232,43,300,,
