SOURCE,TARGET,WEIGHT
Alzheimer Disease,Memory Disorders,0.842904415814168
Alzheimer Disease,Dementia_ Vascular,0.90595477454371
Alzheimer Disease,Cognition Disorders,0.887206614222613
Alzheimer Disease,Atrophy,0.815629048090914
Mitral Valve Prolapse,Heart Valve Diseases,0.931820283195207
Refractive Errors,Amblyopia,0.904724676187064
Refractive Errors,Anisometropia,0.916668143833392
Myoclonus,Creutzfeldt-Jakob Syndrome,0.837943902389598
Myoclonus,Unverricht-Lundborg Syndrome,0.954774124982082
Bipolar Disorder,Depressive Disorder,0.84011866076025
Bipolar Disorder,Depressive Disorder_ Major,0.844746556442135
Charcot-Marie-Tooth Disease,Neuromuscular Diseases,0.876630809933978
Charcot-Marie-Tooth Disease,Muscular Atrophy,0.975521011594601
Gastrointestinal Hemorrhage,Peptic Ulcer Hemorrhage,0.931482363998314
Respiratory Distress Syndrome_ Adult,Acidosis,0.856380502078459
Coloboma,Nails_ Malformed,0.81099680863358
Coloboma,Orofaciodigital Syndromes,0.856286078886984
Coloboma,Hypertelorism,0.84669020049626
Coloboma,Foot Deformities_ Congenital,0.809920123999686
Muscle Hypotonia,Pyruvate Metabolism_ Inborn Errors,0.878368771983386
Adrenocortical Hyperfunction,Acanthosis Nigricans,0.846727337186552
Adrenocortical Hyperfunction,Cushing Syndrome,0.831757585094429
Adrenocortical Hyperfunction,Alopecia,0.818868404334089
Lung Diseases_ Obstructive,Respiratory Distress Syndrome_ Adult,0.895345692758952
Lung Diseases_ Obstructive,Pulmonary Emphysema,0.908150758494889
Lung Diseases_ Obstructive,Emphysema,0.884170727951621
Respiratory Tract Infections,Asthma,0.850807214012954
Disorders of Sex Development,46_ XY Disorders of Sex Development,0.862454136133918
Disorders of Sex Development,Leydig Cell Tumor,0.93249865637545
Disorders of Sex Development,Adrenocortical Carcinoma,0.977894761791333
Disorders of Sex Development,46_ XX Disorders of Sex Development,0.862454136133918
Disorders of Sex Development,Antley-Bixler Syndrome Phenotype,0.862454136133918
Disorders of Sex Development,Androgen-Insensitivity Syndrome,0.803916385937147
Disorders of Sex Development,Gonadal Dysgenesis_ 46_XX,0.823280883473842
Myocardial Stunning,Coronary Restenosis,0.840243729396416
Macular Degeneration,Choroid Diseases,0.829216478094258
Macular Degeneration,Retinal Drusen,0.840674605660897
Macular Degeneration,Retinal Diseases,0.839739686347731
Macular Degeneration,Choroidal Neovascularization,0.899181009427329
Muscular Diseases,Myositis,0.828126559412421
Muscular Diseases,Muscular Dystrophies,0.816695345516702
Diabetic Nephropathies,Diabetic Angiopathies,0.918445850057206
Diabetic Nephropathies,Polycystic Kidney_ Autosomal Dominant,0.872883312755471
Diabetic Nephropathies,Renal Insufficiency,0.805042061430649
Smith-Lemli-Opitz Syndrome,Chromosome Breakage,0.813485701461483
Niemann-Pick Disease_ Type C,Supranuclear Palsy_ Progressive,0.832963378553172
Niemann-Pick Disease_ Type C,Tauopathies,0.821935253908762
Hyperparathyroidism,Hypocalcemia,0.855150843227152
Hyperparathyroidism,Rickets,0.869083030453981
Hyperparathyroidism,Hypoparathyroidism,0.846415537203438
Tetany,Magnesium Deficiency,0.878784450781017
Eczema,Keratosis,0.814480728785109
Skin Diseases,Eczema,0.830178990147415
Skin Diseases,Dermatitis_ Exfoliative,0.844568485999427
Skin Diseases,Dermatitis_ Allergic Contact,0.815583844583959
Skin Diseases,Drug Eruptions,0.873497318491487
Skin Diseases,Dermatitis_ Contact,0.818113099355877
Skin Diseases,Dermatitis,0.908544925841706
Skin Diseases,Psoriasis,0.860830070295324
Skin Diseases,Urticaria,0.887011335771016
Skin Diseases,Folliculitis,0.821727807006901
Skin Diseases,Dermatitis_ Atopic,0.844804133187587
Skin Diseases,Keratosis,0.80568762112734
Mitochondrial Diseases,Mitochondrial Myopathies,0.917709833139256
Mitochondrial Diseases,Mitochondrial Encephalomyopathies,0.883747252797429
Multiple Sclerosis_ Relapsing-Remitting,Multiple Sclerosis_ Chronic Progressive,0.825854347018634
Hypertension_ Pulmonary,Reperfusion Injury,0.879452872698321
Hypertension_ Pulmonary,Polycythemia,0.952198424745298
Hypertension_ Pulmonary,Myocardial Reperfusion Injury,0.931289375405482
Neural Tube Defects,Spinal Dysraphism,0.942301652200308
Neural Tube Defects,Vesico-Ureteral Reflux,0.872857746857981
Neural Tube Defects,Spina Bifida Cystica,0.876441836893651
Neural Tube Defects,Urinary Tract Infections,0.882047857207677
Neural Tube Defects,Meningomyelocele,0.936152101304325
Athetosis,Purine-Pyrimidine Metabolism_ Inborn Errors,0.869029335655148
Psychoses_ Substance-Induced,Lewy Body Disease,0.923025604226929
Lung Diseases,Bronchiectasis,0.847953534767034
Lung Diseases,Pulmonary Veno-Occlusive Disease,0.802836582899032
Angina Pectoris,Coronary Disease,0.97408753766123
Angina Pectoris,Coronary Restenosis,0.806039430229887
Pain,Breast Diseases,0.869456448688654
Vipoma,Gastrinoma,0.883794296278783
Syncope,Sick Sinus Syndrome,0.985687212470615
Syncope,Long QT Syndrome,0.990176564421482
Syncope,Arrhythmogenic Right Ventricular Dysplasia,0.971353397691165
Syncope,Torsades de Pointes,0.946437610194019
Syncope,Arrhythmias_ Cardiac,0.839030091704943
Syncope,Heart Block,0.959356339836628
Syncope,Death_ Sudden_ Cardiac,0.900982828761331
Syncope,Tachycardia_ Ventricular,0.978593097931242
Syncope,Ventricular Fibrillation,0.851043254561394
Syncope,Brugada Syndrome,0.917033948435713
Syncope,Bundle-Branch Block,0.885295139583476
Dementia,Alzheimer Disease,0.973311910384915
Dementia,Dementia_ Vascular,0.899398733079568
Dementia,Cognition Disorders,0.8394748592648
Hyperlipidemias,Obesity,0.930571373811345
Hyperlipidemias,Metabolic Diseases,0.915116293022601
Hyperlipidemias,Hypercholesterolemia,0.926976270933936
Hyperlipidemias,Glucose Intolerance,0.91744859534877
Hyperlipidemias,Hyperlipoproteinemias,0.943094569602781
Hyperlipidemias,Endometrial Hyperplasia,0.877495230093862
Hyperlipidemias,Gout,0.899648870783327
Hyperlipidemias,Endometrial Neoplasms,0.898367732447869
Hyperlipidemias,Diabetes Mellitus,0.958686833291199
Hyperlipidemias,Lipid Metabolism Disorders,0.84479065211914
Hyperlipidemias,Hyperinsulinism,0.941196132303732
Hyperlipidemias,Hyperlipoproteinemia Type IV,0.916981361033762
Hyperlipidemias,Hypothalamic Diseases,0.800608488267809
Hyperlipidemias,Bardet-Biedl Syndrome,0.858061992287933
Hyperlipidemias,Hypertriglyceridemia,0.951505684846547
Hyperlipidemias,Hyperlipidemia_ Familial Combined,0.934205754540792
Hyperlipidemias,Hypoalphalipoproteinemias,0.906766370377221
Hyperlipidemias,Dyslipidemias,0.91876993812094
Mucocutaneous Lymph Node Syndrome,Neutropenia,0.850717856393566
Wilms Tumor,Congenital Abnormalities,0.826972830478668
Immunologic Deficiency Syndromes,Candidiasis_ Chronic Mucocutaneous,0.863775133965822
Spinal Dysraphism,Vesico-Ureteral Reflux,0.915711904900777
Spinal Dysraphism,Spina Bifida Cystica,0.932274296832272
Spinal Dysraphism,Urinary Tract Infections,0.877170480143746
Spinal Dysraphism,Urologic Diseases,0.831504123807155
Deafness,Waardenburg's Syndrome,0.852985172881455
Deafness,Ichthyosiform Erythroderma_ Congenital,0.965102650974566
Nails_ Malformed,Orofaciodigital Syndromes,0.803450288187635
Nails_ Malformed,Hypertelorism,0.830504734559033
Nails_ Malformed,Xeroderma Pigmentosum,0.852395438958577
Nails_ Malformed,Chromosome Breakage,0.851540482857804
Tooth Abnormalities,Coloboma,0.826382359038645
Tooth Abnormalities,Cleidocranial Dysplasia,0.805321872178554
Tooth Abnormalities,Nails_ Malformed,0.816292898199484
Tooth Abnormalities,Chromosome Disorders,0.838019747685282
Tooth Abnormalities,Craniofacial Dysostosis,0.911513397372582
Tooth Abnormalities,Orofaciodigital Syndromes,0.841926239939381
Tooth Abnormalities,Amino Acid Metabolism_ Inborn Errors,0.819821912438846
Tooth Abnormalities,Fibromatosis_ Gingival,0.861603356876627
Tooth Abnormalities,Klinefelter Syndrome,0.806180611001778
Tooth Abnormalities,Hypertelorism,0.880405814105126
Tooth Abnormalities,Chromosome Aberrations,0.857583718539077
Tooth Abnormalities,Syndactyly,0.851160415716282
Tooth Abnormalities,Craniosynostoses,0.858503833539626
Tooth Abnormalities,Xeroderma Pigmentosum,0.839769035500694
Tooth Abnormalities,Hand Deformities_ Congenital,0.889382824239423
Tooth Abnormalities,Ectodermal Dysplasia,0.866962655326736
Tooth Abnormalities,Chromosome Breakage,0.841658206138077
Tooth Abnormalities,Exostoses_ Multiple Hereditary,0.802335334640214
Tooth Abnormalities,Foot Deformities_ Congenital,0.83333028424456
Macrocephaly,Fibromatosis_ Gingival,0.810971322830233
Macrocephaly,Xeroderma Pigmentosum,0.809368458919106
Sick Sinus Syndrome,Long QT Syndrome,0.980120759940766
Sick Sinus Syndrome,Arrhythmogenic Right Ventricular Dysplasia,0.959018016405618
Sick Sinus Syndrome,Torsades de Pointes,0.93463178104924
Sick Sinus Syndrome,Heart Block,0.961803889585509
Sick Sinus Syndrome,Death_ Sudden_ Cardiac,0.913076997061247
