id,gender,age
73557,1,69
73558,1,54
73559,1,72
73560,1,9
73561,2,73
73562,1,56
73563,1,0
73564,2,61
73565,1,42
73566,2,56
73567,1,65
73568,2,26
73569,2,0
73570,2,9
73571,1,76
73572,2,10
73573,1,10
73574,2,33
73575,1,1
73576,1,16
73577,1,32
73578,1,18
73579,2,12
73580,2,38
73581,1,50
73582,2,23
73583,2,7
73584,1,13
73585,1,28
73586,2,4
73587,1,14
73588,1,11
73589,1,35
73590,1,2
73591,1,6
73592,1,29
73593,1,3
73594,1,23
73595,1,58
73596,2,57
73597,2,50
73598,1,20
73599,2,13
73600,1,37
73601,1,12
73602,1,3
73603,1,35
73604,2,69
73605,1,13
73606,1,16
73607,1,75
73608,1,3
73609,2,11
73610,1,43
73611,2,3
73612,2,6
73613,2,60
73614,2,55
73615,2,65
73616,2,62
73617,1,6
73618,2,54
73619,2,36
73620,2,3
73621,1,80
73622,1,72
73623,1,32
73624,2,31
73625,1,13
73626,2,72
73627,1,0
73628,1,80
73629,2,26
73630,1,13
73631,2,56
73632,1,23
73633,2,43
73634,1,65
73635,2,4
73636,2,1
73637,2,2
73638,2,63
73639,1,71
73640,2,67
73641,2,64
73642,2,57
73643,1,62
73644,1,8
73645,2,54
73646,1,4
73647,2,61
73648,2,16
73649,1,3
73650,1,6
73651,2,6
73652,2,54
73653,2,10
73654,1,46
73655,1,44
73656,1,54
73657,2,19
73658,1,35
73659,2,70
73660,1,59
73661,1,25
73662,1,39
73663,1,25
73664,2,5
73665,1,59
73666,1,70
73667,1,24
73668,2,30
73669,1,4
73670,2,71
73671,1,49
73672,1,73
73673,1,45
73674,2,45
73675,1,29
73676,1,44
73677,2,61
73678,1,51
73679,2,1
73680,1,12
73681,2,9
73682,2,3
73683,2,2
73684,1,64
73685,2,0
73686,2,7
73687,1,8
73688,1,58
73689,1,54
73690,2,77
73691,1,14
73692,1,65
73693,2,78
73694,2,66
73695,2,79
73696,2,8
73697,2,57
73698,1,23
73699,1,20
73700,1,0
73701,1,47
73702,2,48
73703,2,38
73704,2,8
73705,1,10
73706,1,54
73707,1,45
73708,1,69
73709,1,64
73710,1,2
73711,1,5
73712,1,18
73713,1,3
73714,2,29
73715,2,38
73716,1,25
73717,1,78
73718,1,53
73719,2,11
73720,1,48
73721,2,80
73722,2,80
73723,1,77
73724,1,26
73725,2,80
73726,2,67
73727,2,3
73728,1,16
73729,1,46
73730,1,48
73731,1,12
73732,1,80
73733,2,23
73734,2,5
73735,2,29
73736,1,55
73737,2,30
73738,1,29
73739,2,46
73740,2,57
73741,2,47
73742,2,11
73743,1,0
73744,2,0
73745,1,7
73746,2,64
73747,2,80
73748,1,0
73749,1,29
73750,1,9
73751,2,61
73752,2,8
73753,2,11
73754,1,15
73755,1,75
73756,1,56
73757,2,29
73758,2,15
73759,2,9
73760,1,64
73761,1,17
73762,1,3
73763,2,31
73764,1,13
73765,1,54
73766,2,75
73767,2,35
73768,2,4
73769,1,42
73770,2,50
73771,1,0
73772,2,21
73773,2,39
73774,2,80
73775,2,14
73776,2,19
73777,1,5
73778,1,62
73779,1,62
73780,1,78
73781,2,48
73782,1,68
73783,1,26
73784,2,7
73785,1,46
73786,2,18
73787,1,71
73788,2,9
73789,2,2
73790,1,59
73791,1,8
73792,2,68
73793,1,10
73794,2,6
73795,1,59
73796,2,5
73797,2,57
73798,1,11
73799,2,10
73800,2,54
73801,2,46
73802,2,18
73803,1,14
73804,1,55
73805,2,30
73806,1,63
73807,2,50
73808,2,53
73809,2,52
73810,1,48
73811,1,64
73812,1,5
73813,2,34
73814,1,0
73815,2,72
73816,1,64
73817,1,0
73818,1,5
73819,1,4
73820,1,56
73821,2,56
73822,2,13
73823,1,35
73824,1,11
73825,2,64
73826,2,14
73827,2,11
73828,2,4
73829,2,7
73830,1,64
73831,2,48
73832,1,77
73833,2,34
73834,1,64
73835,1,13
73836,2,9
73837,1,29
73838,2,2
73839,1,68
73840,2,77
73841,1,13
73842,1,53
73843,1,42
73844,2,12
73845,2,70
73846,2,24
73847,1,34
73848,2,65
73849,2,16
73850,1,30
73851,2,48
73852,2,40
73853,1,13
73854,2,1
73855,2,38
73856,1,0
73857,1,23
73858,1,52
73859,1,38
73860,1,53
73861,1,77
73862,2,61
73863,1,26
73864,2,62
73865,1,48
73866,2,47
73867,2,80
73868,1,32
73869,1,7
73870,1,38
73871,2,28
73872,2,63
73873,1,80
73874,2,2
73875,1,43
73876,2,0
73877,2,0
73878,2,45
73879,2,58
73880,2,50
73881,1,38
73882,2,25
73883,1,67
73884,1,43
73885,1,6
73886,2,64
73887,1,16
73888,1,56
73889,1,15
73890,1,16
73891,1,12
73892,1,15
73893,1,17
73894,1,6
73895,1,5
73896,2,19
73897,2,11
73898,1,9
73899,1,57
73900,1,66
73901,1,54
73902,2,28
73903,2,4
73904,1,17
73905,1,12
73906,2,34
73907,2,8
73908,1,67
73909,1,0
73910,1,51
73911,1,3
73912,1,0
73913,1,26
73914,2,52
73915,2,14
73916,1,27
73917,1,8
73918,1,32
73919,1,61
73920,1,18
73921,2,80
73922,2,75
73923,1,4
73924,2,39
73925,1,60
73926,1,64
73927,2,3
73928,1,23
73929,2,3
73930,2,70
73931,2,37
73932,1,30
73933,2,10
73934,1,31
73935,1,63
73936,2,3
73937,2,41
73938,2,53
73939,2,6
73940,1,7
73941,1,28
73942,1,5
73943,1,19
73944,1,0
73945,1,66
73946,1,2
73947,1,1
73948,2,4
73949,1,48
73950,1,3
73951,1,14
73952,1,42
73953,2,13
73954,2,45
73955,2,31
73956,1,4
73957,2,26
73958,2,16
73959,1,5
73960,2,11
73961,1,7
73962,1,49
73963,1,16
73964,1,45
73965,1,0
73966,1,7
73967,1,9
73968,1,15
73969,1,0
73970,1,10
73971,2,15
73972,2,2
73973,2,75
73974,1,34
73975,2,64
73976,2,11
73977,1,30
73978,2,10
73979,2,61
73980,1,43
73981,2,36
73982,1,13
73983,2,18
73984,1,5
73985,2,43
73986,2,7
73987,1,56
73988,1,4
73989,1,0
73990,2,50
73991,2,8
73992,1,20
73993,1,57
73994,1,36
73995,2,40
73996,2,17
73997,1,17
73998,2,32
73999,1,66
74000,1,14
74001,1,48
74002,1,63
74003,2,68
74004,2,31
74005,1,23
74006,2,34
74007,2,71
74008,2,49
74009,2,6
74010,1,40
74011,1,55
74012,2,68
74013,2,56
74014,1,60
74015,2,2
74016,1,49
74017,2,18
74018,1,22
74019,2,17
74020,2,4
74021,1,16
74022,2,66
