Food_Code,Mod_Code,Ingredient_Num,FCID_Code,Cooked_Status,Food_Form,Cooking_Method,Commodity_Weight,CSFII_9498_IND,WWEIA_9904_IND,WWEIA_0510_IND
11000000,0,1,3700222501,1,1,0,100,1,1,1
11100000,0,1,3600224000,1,1,0,89.12,1,1,1
11100000,0,2,3600223000,1,1,0,8.83,1,1,1
11100000,0,3,3600222000,1,1,0,2.05,1,1,1
11111000,0,1,3600224000,1,1,0,87.99,1,1,1
11111000,0,2,3600223000,1,1,0,8.67,1,1,1
11111000,0,3,3600222000,1,1,0,3.34,1,1,1
11111100,0,1,3600224000,1,1,0,87.99,0,1,0
11111100,0,2,3600223000,1,1,0,8.67,0,1,0
11111100,0,3,3600222000,1,1,0,3.34,0,1,0
11111150,0,1,3600224000,1,1,0,87.99,0,1,0
11111150,0,2,3600223000,1,1,0,8.67,0,1,0
11111150,0,3,3600222000,1,1,0,3.34,0,1,0
11111160,0,1,3600224000,1,1,0,89.99,1,0,1
11111160,0,2,3600223000,1,1,0,8.86,1,0,1
11111160,0,3,3600222000,1,1,0,1.05,1,0,1
11111170,0,1,3600224000,1,1,0,90.8,1,1,1
11111170,0,2,3600223000,1,1,0,9.02,1,1,1
11111170,0,3,3600222000,1,1,0,0.18,1,1,1
11112000,0,1,3600224000,1,1,0,89.77,1,1,0
11112000,0,2,3600223000,1,1,0,8.91,1,1,0
11112000,0,3,3600222000,1,1,0,1.32,1,1,0
11112110,0,1,3600224000,1,1,0,89.21,1,1,1
11112110,0,2,3600223000,1,1,0,8.87,1,1,1
11112110,0,3,3600222000,1,1,0,1.92,1,1,1
11112120,0,1,3600224000,1,1,0,90.08,1,1,1
11112120,0,2,3600223000,1,1,0,8.86,1,1,1
11112120,0,3,3600222000,1,1,0,1.06,1,1,1
11112130,0,1,3600224000,1,1,0,89.21,1,1,1
11112130,0,2,3600223000,1,1,0,8.87,1,1,1
11112130,0,3,3600222000,1,1,0,1.92,1,1,1
11112210,0,1,3600224000,1,1,0,90.08,1,1,1
11112210,0,2,3600223000,1,1,0,8.86,1,1,1
11112210,0,3,3600222000,1,1,0,1.06,1,1,1
11113000,0,1,3600224000,1,1,0,90.8,1,1,1
11113000,0,2,3600223000,1,1,0,9.02,1,1,1
11113000,0,3,3600222000,1,1,0,0.18,1,1,1
11114300,0,1,3600224000,1,1,0,90.08,1,1,1
11114300,0,2,3600223000,1,1,0,8.86,1,1,1
11114300,0,3,3600222000,1,1,0,1.06,1,1,1
11114310,0,1,3600224000,1,1,0,89.99,1,0,0
11114310,0,2,3600223000,1,1,0,8.86,1,0,0
11114310,0,3,3600222000,1,1,0,1.05,1,0,0
11114320,0,1,3600224000,1,1,0,90.8,1,1,1
11114320,0,2,3600223000,1,1,0,9.02,1,1,1
11114320,0,3,3600222000,1,1,0,0.18,1,1,1
11114321,0,1,3600224000,1,1,0,90.8,1,0,0
11114321,0,2,3600223000,1,1,0,9.02,1,0,0
11114321,0,3,3600222000,1,1,0,0.18,1,0,0
11114330,0,1,3600224000,1,1,0,89.21,1,1,1
11114330,0,2,3600223000,1,1,0,8.87,1,1,1
11114330,0,3,3600222000,1,1,0,1.92,1,1,1
11114350,0,1,3600224000,1,1,0,87.99,0,1,1
11114350,0,2,3600223000,1,1,0,8.67,0,1,1
11114350,0,3,3600222000,1,1,0,3.34,0,1,1
11115000,0,1,3600224000,1,1,0,90.13,1,1,1
11115000,0,2,3600223000,1,1,0,8852,1,1,1
11115000,0,3,3600222000,1,1,0,0.88,1,1,1
11115100,0,1,3600224000,1,1,0,88.5,0,1,1
11115100,0,2,3600223000,1,1,0,10.5,0,1,1
11115100,0,3,3600222000,1,1,0,1,0,1,1
11115200,0,1,3600224000,1,1,0,87.7,1,1,1
11115200,0,2,3600223000,1,1,0,10.3,1,1,1
11115200,0,3,3600222000,1,1,0,2,1,1,1
11115300,0,1,3600224000,1,1,0,87.7,0,0,1
11115300,0,2,3600223000,1,1,0,10.3,0,0,1
11115300,0,3,3600222000,1,1,0,2,0,0,1
11116000,0,1,3600224000,1,1,0,87.03,1,1,1
11116000,0,2,3600223000,1,1,0,8.83,1,1,1
11116000,0,3,3600222000,1,1,0,4.14,1,1,1
11120000,0,1,8602000000,1,3,0,90.71,1,1,1
11120000,0,2,3600223000,1,3,0,8869,1,1,1
11120000,0,3,3600224000,1,3,0,368,1,1,1
11120000,0,4,3600222000,1,3,0,0.06,1,1,1
11121100,0,1,8602000000,1,3,0,87.02,1,1,1
11121100,0,2,3600223000,1,3,0,9203,1,1,1
11121100,0,3,3600222000,1,3,0,3.46,1,1,1
11121100,0,4,3600224000,1,3,0,321,1,1,1
11121210,0,1,8602000000,1,3,0,90.61,1,1,1
11121210,0,2,3600223000,1,3,0,8869,1,1,1
11121210,0,3,3600224000,1,3,0,368,1,1,1
11121210,0,4,3600222000,1,3,0,0.16,1,1,1
11121300,0,1,8602000000,1,3,0,90.71,1,1,1
11121300,0,2,3600223000,1,3,0,8869,1,1,1
11121300,0,3,3600224000,1,3,0,368,1,1,1
11121300,0,4,3600222000,1,3,0,0.06,1,1,1
11210000,0,1,8602000000,2,4,0,48.47,1,1,0
11210000,0,2,3600224000,2,4,0,38154,1,1,0
11210000,0,3,3600223000,2,4,0,9491,1,1,0
11210000,0,4,3600222000,2,4,0,3.89,1,1,0
11210050,0,1,3600224000,2,4,0,74.04,1,1,1
11210050,0,2,3600223000,2,4,0,18.4,1,1,1
11210050,0,3,3600222000,2,4,0,7.56,1,1,1
11210100,0,1,3600224000,2,4,0,74.04,1,1,0
11210100,0,2,3600223000,2,4,0,18.4,1,1,0
11210100,0,3,3600222000,2,4,0,7.56,1,1,0
11210200,0,1,8602000000,2,4,0,48.47,1,0,0
11210200,0,2,3600224000,2,4,0,38154,1,0,0
11210200,0,3,3600223000,2,4,0,9491,1,0,0
11210200,0,4,3600222000,2,4,0,3.89,1,0,0
11211000,0,1,8602000000,2,4,0,48.47,1,1,0
11211000,0,2,3600224000,2,4,0,38154,1,1,0
11211000,0,3,3600223000,2,4,0,9491,1,1,0
11211000,0,4,3600222000,2,4,0,3.89,1,1,0
11211050,0,1,3600224000,2,4,0,74.04,1,1,1
11211050,0,2,3600223000,2,4,0,18.4,1,1,1
11211050,0,3,3600222000,2,4,0,7.56,1,1,1
11211100,0,1,3600224000,2,4,0,74.04,1,1,0
11211100,0,2,3600223000,2,4,0,18.4,1,1,0
11211100,0,3,3600222000,2,4,0,7.56,1,1,0
11211200,0,1,8602000000,2,4,0,48.47,1,1,0
11211200,0,2,3600224000,2,4,0,38154,1,1,0
11211200,0,3,3600223000,2,4,0,9491,1,1,0
11211200,0,4,3600222000,2,4,0,3.89,1,1,0
11211400,0,1,3600224000,2,4,0,78,1,1,1
11211400,0,2,3600223000,2,4,0,20.05,1,1,1
11211400,0,3,3600222000,2,4,0,1.95,1,1,1
11211500,0,1,3600224000,2,4,0,78,1,0,0
11211500,0,2,3600223000,2,4,0,20.05,1,0,0
11211500,0,3,3600222000,2,4,0,1.95,1,0,0
11212000,0,1,8602000000,2,4,0,48.07,1,1,0
11212000,0,2,3600224000,2,4,0,41228,1,1,0
11212000,0,3,3600223000,2,4,0,10602,1,1,0
11212000,0,4,3600222000,2,4,0,0.1,1,1,0
11212050,0,1,3600224000,2,4,0,79.4,1,1,1
11212050,0,2,3600223000,2,4,0,20.4,1,1,1
11212050,0,3,3600222000,2,4,0,0.2,1,1,1
11212100,0,1,3600224000,2,4,0,79.4,1,1,0
11212100,0,2,3600223000,2,4,0,20.4,1,1,0
11212100,0,3,3600222000,2,4,0,0.2,1,1,0
11220000,0,1,3600224000,2,4,0,27.16,1,1,1
11220000,0,2,9500362000,9,0,0,24.64,1,1,1
11220000,0,3,3600223000,2,4,0,20.14,1,1,1
11220000,0,4,101052000,9,0,0,19.36,1,1,1
11220000,0,5,3600222000,2,4,0,8.7,1,1,1
11220100,0,1,3600224000,2,4,0,27.16,1,1,0
11220100,0,2,9500362000,9,0,0,24.64,1,1,0
11220100,0,3,3600223000,2,4,0,20.14,1,1,0
11220100,0,4,101052000,9,0,0,19.36,1,1,0
11220100,0,5,3600222000,2,4,0,8.7,1,1,0
11220200,0,1,8602000000,2,4,0,43.65,1,1,0
11220200,0,2,3600224000,2,4,0,15304,1,1,0
11220200,0,3,9500362000,9,0,0,13886,1,1,0
11220200,0,4,3600223000,2,4,0,11351,1,1,0
11220200,0,5,101052000,9,0,0,10.91,1,1,0
11220200,0,6,3600222000,2,4,0,4.9,1,1,0
